全国地方公共団体コード,ID,地方公共団体名,名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,面積(㎡),備考
131211,,東京都足立区,ベルモント公園,東京都足立区梅島一丁目33番7号ほか,,,,,,,,,
131211,,東京都足立区,桜づつみ（荒川左岸鹿浜橋緑地）,東京都足立区堀之内一丁目先,,,,,,,,,
131211,,東京都足立区,舎人緑道公園,東京都足立区入谷九丁目10番先、三丁目11番先、舎人六丁目13番先,,,,,,,,,
131211,,東京都足立区,葛西用水親水水路,東京都足立区六木三丁目38番から中川四丁目1番まで,,,,,,,,,
131211,,東京都足立区,江北北部緑道公園,東京都足立区谷在家二丁目13番から皿沼三丁目18番まで,,,,,,,,,
131211,,東京都足立区,虹の広場（荒川河川敷）,東京都足立区千住五丁目地先,,,,,,,,,
131211,,東京都足立区,新田わくわく水辺広場（荒川河川敷）,東京都足立区新田二丁目・三丁目地先,,,,,,,,,
131211,,東京都足立区,新田さくら公園,東京都足立区新田三丁目34番1号,,,,,,,,,
131211,,東京都足立区,足立堀之内公園,東京都足立区堀之内二丁目1番1号,,,,,,,,,
131211,,東京都足立区,大谷田公園,東京都足立区大谷田四丁目4番1号,,,,,,,,,
131211,,東京都足立区,大谷田南公園,東京都足立区中川四丁目42番1号,,,,,,,,,
131211,,東京都足立区,北鹿浜公園,東京都足立区鹿浜三丁目26番1号,,,,,,,,,
131211,,東京都足立区,しょうぶ沼公園,東京都足立区谷中二丁目4番1号,,,,,,,,,
131211,,東京都足立区,青和ばら公園,東京都足立区青井三丁目18番15号,,,,,,,,,
131211,,東京都足立区,千住大川端公園,東京都足立区千住曙町41番10号,,,,,,,,,
131211,,東京都足立区,佐野いこいの森緑地,東京都足立区佐野1丁目31番11号,,,,,,,,,
131211,,東京都足立区,白旗塚史跡公園,東京都足立区東伊興三丁目10番14号,,,,,,,,,
131211,,東京都足立区,千住ほんちょう公園,東京都足立区千住四丁目22番16号,,,,,,,,,
131211,,東京都足立区,大橋公園,東京都足立区千住橋戸町千住大橋々台敷,,,,,,,,,
131211,,東京都足立区,荒川千住新橋緑地（わんど広場）,東京都足立区足立1・2丁目地先,,,,,,,,,
131211,,東京都足立区,柳原千草園,東京都足立区柳原一丁目21番26号,,,,,,,,,
131211,,東京都足立区,押部公園,東京都足立区鹿浜六丁目８番１号,,,,,,,,,
131211,,東京都足立区,あいぐみ緑地公園,東京都足立区花畑二丁目2番1号、六丁目1番1号・3番1号,,,,,,,,,
131211,,東京都足立区,あだち五色桜の散歩みち,東京都足立区鹿浜一丁目から本木一丁目（鹿浜橋から西新井橋）,,,,,,,,,
131211,,東京都足立区,西新井さかえ公園,東京都足立区西新井栄町一丁目19番1号,,,,,,,,,
131211,,東京都足立区,花畑公園（花畑記念庭園・桜花亭）,東京都足立区花畑四丁目40番1号（花畑公園内）,,,,,,,,,
131211,,東京都足立区,足立区生物園（元渕江公園内）,東京都足立区保木間二丁目17番1号(元渕江公園内),,,,,,,,,
131211,,東京都足立区,足立区都市農業公園,東京都足立区鹿浜二丁目44番1号,,,,,,,,,
131211,,東京都足立区,桑袋ビオトープ公園,東京都足立区花畑八丁目2番2号,,,,,,,,,
