"施設名","所在地","緯度","経度"
"愛知川公民館","滋賀県愛荘町愛知川13-2","35.171073","136.211753"
"愛知川保健センター","滋賀県愛荘町愛知川72","35.168802","136.212316"
"福祉センターラポール秦荘いきいきセンター","滋賀県愛荘町安孫子1216-1","35.172576","136.250677"
"秦荘中学校","滋賀県愛荘町安孫子730","35.174794","136.245944"
"子育て支援センター　あいっ子","滋賀県愛荘町安孫子811-1","35.175545","136.245539"
"愛知川小学校","滋賀県愛荘町沓掛480","35.178995","136.210973"
"福祉センター愛の郷","滋賀県愛荘町市731","35.172775","136.21025"
"愛知中学校","滋賀県愛荘町市779","35.172781","136.212837"
"つくし保育園","滋賀県愛荘町川原680","35.190268","136.202669"
"秦荘西小学校","滋賀県愛荘町島川1162","35.166822","136.230837"
"秦荘東小学校","滋賀県愛荘町東出25","35.177436","136.258888"
"愛知川東小学校","滋賀県愛荘町豊満573","35.165697","136.211917"
"栗東市立治田東小学校","滋賀県栗東市安養寺147","35.015947","136.003236"
"栗東市総合福祉保健センター（なごやかセンター）・栗東市立治田東児童館","滋賀県栗東市安養寺190","35.017607","136.004095"
"コミュニティセンター治田東","滋賀県栗東市安養寺205","35.017684","136.002924"
"学習支援センター","滋賀県栗東市安養寺3-1-1","35.021619","136.002314"
"栗東市立栗東中学校","滋賀県栗東市安養寺6-6-15","35.01928","135.995391"
"栗東市立治田東こども園","滋賀県栗東市安養寺6-7-12","35.019891","135.996374"
"栗東市立治田東こども園","滋賀県栗東市安養寺6-7-12","35.019792","135.995816"
"栗東市立金勝第２保育園","滋賀県栗東市御園1028","35.002754","136.014217"
"ＪＲＡ・トレセン厚生会館","滋賀県栗東市御園1028","35.001029","136.014248"
"栗東市立金勝小学校","滋賀県栗東市御園911-1","34.996857","136.023605"
"コミュニティセンター金勝","滋賀県栗東市御園982","34.996947","136.02252"
"栗東市立金勝児童館","滋賀県栗東市御園983","34.99757","136.023162"
"荒張スポーツ広場","滋賀県栗東市荒張669","34.988606","136.022955"
"栗東市立葉山幼児園（保育園）","滋賀県栗東市高野289","35.033169","136.012375"
"栗東市立葉山幼児園（幼稚園）","滋賀県栗東市高野289","35.033033","136.012778"
"栗東市立葉山小学校","滋賀県栗東市高野310","35.032996","136.013927"
"栗東市立葉山児童館","滋賀県栗東市高野568-1","35.035309","136.012825"
"コミュニティセンター葉山","滋賀県栗東市高野622-1","35.03552","136.013316"
"高野公園","滋賀県栗東市高野727","35.035556","136.019192"
"栗東市ひだまりの家","滋賀県栗東市十里399-3","35.047083","135.961908"
"栗東市立大宝西保育園","滋賀県栗東市十里400","35.046803","135.961951"
"十里体育館","滋賀県栗東市十里405-1","35.046493","135.961077"
"野洲川体育館","滋賀県栗東市出庭2083","35.047592","136.011711"
"栗東市やすらぎの家","滋賀県栗東市出庭700-1","35.036574","136.004101"
"治田西スポーツセンター","滋賀県栗東市小柿1-1-11","35.026088","135.978579"
"栗東市ゆうあいの家・治田西児童館","滋賀県栗東市小柿1-10-10","35.027236","135.977381"
"栗東市立治田西小学校","滋賀県栗東市小柿1-5-21","35.025702","135.974742"
"コミュニティセンター治田西","滋賀県栗東市小柿5-1-8","35.025155","135.974906"
"栗東市立葉山東小学校","滋賀県栗東市小野320","35.023099","136.013687"
"滋賀県立国際情報高等学校","滋賀県栗東市小野36","35.017657","136.018409"
"栗東市立葉山東幼児園（幼稚園）","滋賀県栗東市小野465-1","35.02305","136.012157"
"栗東市立葉山東幼児園（保育園）","滋賀県栗東市小野465-1","35.023617","136.012618"
"栗東市立葉山東児童館","滋賀県栗東市小野480-1","35.023181","136.011488"
"滋賀県立栗東高等学校","滋賀県栗東市小野618","35.022528","136.006614"
"栗東市民体育館","滋賀県栗東市川辺390-1","35.016858","135.991545"
"滋賀県立聾話学校","滋賀県栗東市川辺664","35.02089","135.992544"
"栗東市立治田西幼児園（保育園）","滋賀県栗東市中沢1-4-22","35.026938","135.975697"
"栗東市立治田西幼児園（幼稚園）","滋賀県栗東市中沢1-6-3","35.027031","135.975142"
"コミュニティセンター治田","滋賀県栗東市坊袋161-1","35.019647","135.983681"
"栗東市立治田保育園","滋賀県栗東市坊袋162","35.019426","135.983245"
"栗東市立治田小学校","滋賀県栗東市坊袋77","35.018925","135.983995"
"栗東市立治田児童館","滋賀県栗東市目川871-1","35.019379","135.981541"
"栗東市立治田幼稚園","滋賀県栗東市目川871-2","35.019782","135.981302"
"栗東市立大宝東小学校","滋賀県栗東市野尻502-1","35.037946","135.987794"
"大宝カナリヤ保育園","滋賀県栗東市野尻584","35.035837","135.985711"
"栗東市立大宝西小学校","滋賀県栗東市霊仙寺4-2-55","35.042095","135.966649"
"コミュニティセンター大宝西","滋賀県栗東市霊仙寺4-2-63","35.041967","135.967824"
"栗東市立大宝西児童館","滋賀県栗東市霊仙寺4-2-66","35.041549","135.968201"
"栗東市立大宝西幼稚園","滋賀県栗東市霊仙寺5-6-19","35.041255","135.96874"
"コミュニティセンター葉山東","滋賀県栗東市六地蔵714-1","35.023901","136.014864"
"栗東市立葉山中学校","滋賀県栗東市六地蔵888","35.028381","136.013914"
"栗東芸術文化会館さきら","滋賀県栗東市綣2-1-28","35.035716","135.98415"
"栗東市立栗東西中学校","滋賀県栗東市綣4-13-47","35.035814","135.97344"
"栗東市立大宝児童館","滋賀県栗東市綣6-13-10","35.037772","135.97741"
"栗東市立大宝小学校","滋賀県栗東市綣7-14-19","35.038526","135.978535"
"大宝公園","滋賀県栗東市綣7-5-5","35.040773","135.980444"
"コミュニティセンター大宝","滋賀県栗東市綣7-9-21","35.039389","135.979263"
"栗東市立大宝こども園","滋賀県栗東市綣8-16-9","35.040248","135.976187"
"下田こども園","滋賀県湖南市下田2224","35.021636","136.133682"
"下田小学校（体育館）","滋賀県湖南市下田2784","35.021543","136.130706"
"下田小学校グラウンド","滋賀県湖南市下田2784","35.021057","136.130307"
"三雲小学校グラウンド","滋賀県湖南市夏見1857","34.990557","136.090651"
"石部南小学校グラウンド","滋賀県湖南市丸山1-1-1","34.998549","136.055426"
"京進のようちえん　ＨＯＰＰＡ石部南","滋賀県湖南市丸山1-1-2","34.999506","136.054778"
"石部高等学校","滋賀県湖南市丸山2-3-1","34.995214","136.051502"
"石部高等学校グラウンド","滋賀県湖南市丸山2-3-1","34.995906","136.050472"
"岩根小学校グラウンド","滋賀県湖南市岩根3791","35.006729","136.098287"
"日枝中学校グラウンド","滋賀県湖南市岩根499-351","35.015471","136.11795"
"京進のようちえん　ＨＯＰＰＡ石部","滋賀県湖南市宮の森1-1-1","35.004477","136.061111"
"三雲まちづくりセンター","滋賀県湖南市三雲1186","34.984654","136.107156"
"三雲東小学校グラウンド","滋賀県湖南市三雲3100","34.975174","136.108739"
"甲西高等学校グラウンド","滋賀県湖南市針1","35.002795","136.090253"
"甲西中学校グラウンド","滋賀県湖南市針284","35.000828","136.083542"
"甲西中学校","滋賀県湖南市針284","35.002123","136.084481"
"水戸小学校グラウンド","滋賀県湖南市水戸町31-1","35.01154","136.123556"
"水戸小学校","滋賀県湖南市水戸町31-1","35.011609","136.12372"
"甲西北中学校グラウンド","滋賀県湖南市正福寺28-1","35.014327","136.084691"
"市民学習交流センター（サンヒルズ甲西）","滋賀県湖南市西峰町1-1","35.013776","136.126096"
"石部小学校","滋賀県湖南市石部中央2-3-1","35.006253","136.057696"
"石部小学校グラウンド","滋賀県湖南市石部中央2-3-1","35.006791","136.058192"
"石部保育園","滋賀県湖南市石部中央3-9-20","35.008704","136.054113"
"石部コミュニティセンター","滋賀県湖南市石部東7-6-1","35.004142","136.063886"
"石部南まちづくりセンター","滋賀県湖南市石部南3-5-1","34.994081","136.061694"
"じゅらくの里「福祉パーク館」","滋賀県湖南市東寺4-4-1","34.987144","136.058944"
"水戸体育館","滋賀県湖南市梅影町4-2","35.012464","136.126385"
"平松こども園","滋賀県湖南市平松268","34.997695","136.078132"
"菩提寺小学校グラウンド","滋賀県湖南市菩提寺1583-270","35.031141","136.059795"
"菩提寺北小学校グラウンド","滋賀県湖南市菩提寺328","35.044581","136.068222"
"菩提寺コミュニティセンター","滋賀県湖南市菩提寺775-1","35.025873","136.063382"
"菩提寺まちづくりセンター","滋賀県湖南市菩提寺西4-2-12","35.03527","136.059649"
"石部中学校グラウンド","滋賀県湖南市宝来坂4-3-1","35.002885","136.049263"
"佐山小学校","滋賀県甲賀市甲賀町小佐治2922","34.936658","136.210389"
"油日小学校","滋賀県甲賀市甲賀町上野1322","34.890388","136.227914"
"佐山コミュニティセンター","滋賀県甲賀市甲賀町神保2102","34.935447","136.208888"
"甲南青少年研修センター","滋賀県甲賀市甲南町葛木875","34.932814","136.177083"
"甲南ふれあいの館","滋賀県甲賀市甲南町葛木925","34.931345","136.175271"
"希望ケ丘コミュニティセンター","滋賀県甲賀市甲南町希望ケ丘1-3-4","34.949323","136.176738"
"甲南希望ケ丘保育園","滋賀県甲賀市甲南町希望ケ丘4-1","34.940776","136.173282"
"甲南希望ケ丘保育園グラウンド（遊歩公園）","滋賀県甲賀市甲南町希望ケ丘4-5","34.94127","136.172575"
"甲南中学校","滋賀県甲賀市甲南町寺庄841","34.92164","136.179891"
"かえで会館","滋賀県甲賀市甲南町森尻527","34.93985","136.157492"
"甲南図書交流館","滋賀県甲賀市甲南町深川1865","34.929767","136.168437"
"杉谷公民館","滋賀県甲賀市甲南町杉谷71","34.922502","136.155986"
"甲南のぞみ保育園","滋賀県甲賀市甲南町稗谷2838","34.940063","136.177543"
"甲南第三小学校","滋賀県甲賀市甲南町野川840","34.887067","136.18797"
"信楽中学校","滋賀県甲賀市信楽町江田950","34.870179","136.053867"
"朝宮コミュニティセンター","滋賀県甲賀市信楽町上朝宮467","34.852341","135.982081"
"西老人憩いの家","滋賀県甲賀市信楽町西349","34.871812","136.041813"
"西教育集会所","滋賀県甲賀市信楽町西349-4","34.872091","136.041966"
"多羅尾コミュニティセンター","滋賀県甲賀市信楽町多羅尾2067-2","34.810772","136.035343"
"信楽伝統産業会館","滋賀県甲賀市信楽町長野1203","34.877777","136.05932"
"信楽地域市民センター","滋賀県甲賀市信楽町長野1203","34.877984","136.058572"
"信楽開発センター","滋賀県甲賀市信楽町長野1251","34.878397","136.05919"
"雲井小学校","滋賀県甲賀市信楽町牧868","34.911517","136.082447"
"柞原会館","滋賀県甲賀市信楽町柞原164-1","34.863376","136.028978"
"小原小学校","滋賀県甲賀市信楽町柞原899","34.854378","136.028107"
"綾野小学校","滋賀県甲賀市水口町綾野3-6","34.97426","136.169221"
"宇川会館","滋賀県甲賀市水口町宇川1143","34.962615","136.138611"
"貴生川小学校","滋賀県甲賀市水口町三大寺437","34.948217","136.146643"
"まちづくり活動センター　まるーむ","滋賀県甲賀市水口町水口6009-1","34.966063","136.164183"
"城山中学校","滋賀県甲賀市水口町水口610-17","34.972376","136.184234"
"伴谷コミュニティセンター","滋賀県甲賀市水口町伴中山3737-1","34.997652","136.1569"
"水口西部コミュニティセンター","滋賀県甲賀市水口町本丸1-20","34.971708","136.166064"
"水口小学校","滋賀県甲賀市水口町本町1-2-1","34.969969","136.176383"
"坂町駐車場","滋賀県甲賀市水口町本町2-2-37","34.970616","136.174623"
"岩上総合運動公園","滋賀県甲賀市水口町嶬峨2992","34.955009","136.203"
"鮎河コミュニティセンター","滋賀県甲賀市土山町鮎河1212-1","34.95763","136.338897"
"ふるさと生きがいセンター六友館","滋賀県甲賀市土山町黒川1972","34.923997","136.327568"
"かもしか荘（あいの土山都市との交流センター）","滋賀県甲賀市土山町大河原1104","34.977181","136.34272"
"大野コミュニティセンター","滋賀県甲賀市土山町大野2154","34.94608","136.232934"
"滋賀県立淡海学園","滋賀県甲賀市土山町大野283-20","34.955875","136.251466"
"土山コミュニティセンター","滋賀県甲賀市土山町南土山甲406","34.934548","136.281469"
"土山小学校","滋賀県甲賀市土山町北土山1462","34.935103","136.284891"
"土山開発センター","滋賀県甲賀市土山町北土山1715","34.937686","136.283308"
"土山地域市民センター","滋賀県甲賀市土山町北土山1715","34.937893","136.282992"
"土山体育館","滋賀県甲賀市土山町北土山414-2","34.931749","136.295559"
"甲良東小学校グラウンド","滋賀県甲良町横関215","35.200386","136.270081"
"甲良東小学校","滋賀県甲良町横関215","35.200542","136.269546"
"甲良養護学校グラウンド","滋賀県甲良町金屋1798","35.198029","136.28035"
"甲良養護学校","滋賀県甲良町金屋1798","35.198007","136.280485"
"呉竹地域総合センター","滋賀県甲良町呉竹168","35.223205","136.252867"
"甲良町公民館駐車場","滋賀県甲良町在士350","35.204506","136.261734"
"甲良町公民館","滋賀県甲良町在士350","35.204522","136.261594"
"甲良中学校","滋賀県甲良町在士392","35.20414","136.259118"
"甲良中学校グラウンド","滋賀県甲良町在士392","35.203777","136.258911"
"甲良西小学校グラウンド","滋賀県甲良町在士625","35.210609","136.255463"
"甲良西小学校","滋賀県甲良町在士625","35.211037","136.255293"
"道の駅せせらぎの里こうら（駐車場）","滋賀県甲良町大字金屋1549-4","35.202063","136.275704"
"長寺地域総合センター","滋賀県甲良町長寺507","35.192074","136.26201"
"マキノ東小学校","滋賀県高島市マキノ町海津2384","35.465101","136.074924"
"道の駅マキノ追坂峠","滋賀県高島市マキノ町海津897-27","35.481064","136.082994"
"旧マキノ北小学校在原分校","滋賀県高島市マキノ町在原506","35.514142","136.074206"
"マキノ西小学校","滋賀県高島市マキノ町寺久保552-1","35.47221","136.04314"
"マキノ南小学校","滋賀県高島市マキノ町新保887","35.450984","136.033289"
"マキノ土に学ぶ里研修センター","滋賀県高島市マキノ町蛭口260-1","35.462449","136.049508"
"マキノ中学校","滋賀県高島市マキノ町蛭口601","35.465632","136.047686"
"旧広瀬小学校","滋賀県高島市安曇川町下古賀1182","35.35655","135.988875"
"古賀保育園","滋賀県高島市安曇川町下古賀1182","35.355684","135.988537"
"藤波こども園","滋賀県高島市安曇川町下小川120-1","35.322827","136.033973"
"鴨川流域土地改良区事務所","滋賀県高島市安曇川町下小川2912","35.306565","136.032015"
"藤樹の里文化芸術会館","滋賀県高島市安曇川町上小川106","35.324675","136.029913"
"安曇川高等学校","滋賀県高島市安曇川町西万木1168","35.334558","136.026078"
"青柳小学校","滋賀県高島市安曇川町青柳1138","35.325722","136.032623"
"安曇川図書館","滋賀県高島市安曇川町青柳1173","35.325288","136.030153"
"安曇川はこぶね保育園","滋賀県高島市安曇川町青柳700-1","35.331041","136.036968"
"安曇小学校","滋賀県高島市安曇川町田中445-1","35.332625","136.015927"
"安曇川中学校","滋賀県高島市安曇川町田中567","35.332711","136.015159"
"安曇川総合体育館","滋賀県高島市安曇川町田中630-1","35.333273","136.014288"
"安曇川ふれあいセンター","滋賀県高島市安曇川町田中89","35.333002","136.019041"
"健康の森梅ノ子運動公園","滋賀県高島市安曇川町南古賀65","35.345244","136.005562"
"安曇川世代交流センター","滋賀県高島市安曇川町南船木249","35.319038","136.06564"
"本庄小学校","滋賀県高島市安曇川町南船木391","35.319402","136.063567"
"しろふじ保育園","滋賀県高島市永田1233-1","35.304833","136.00695"
"高島Ｂ＆Ｇ海洋センター","滋賀県高島市宮野1516","35.306401","136.003016"
"京都精華大学朽木学舎","滋賀県高島市朽木古屋472","35.339888","135.810459"
"朽木中学校","滋賀県高島市朽木市場1055","35.352998","135.913286"
"朽木公民館","滋賀県高島市朽木市場792","35.351868","135.915977"
"朽木西小学校","滋賀県高島市朽木中牧187","35.354056","135.805023"
"高島市針畑郷山村都市交流館「山帰来」","滋賀県高島市朽木中牧528","35.35799","135.797191"
"グリーンパーク想い出の森朽木体育館","滋賀県高島市朽木柏341-3","35.345997","135.920668"
"今津上コミュニティセンター","滋賀県高島市今津町下弘部1348-1","35.406774","136.01155"
"大阪自彊館救護施設　角川ヴィラ","滋賀県高島市今津町角川1161","35.42108","135.948093"
"今津東小学校","滋賀県高島市今津町弘川59","35.407855","136.030883"
"今津中学校","滋賀県高島市今津町弘川924","35.41331","136.029586"
"働く女性の家","滋賀県高島市今津町今津1640","35.404203","136.033391"
"高島高等学校","滋賀県高島市今津町今津1936","35.40577","136.031132"
"今津勤労者体育センター","滋賀県高島市今津町今津1952-1","35.40598","136.030493"
"今津東保育園","滋賀県高島市今津町住吉2-16-5","35.402776","136.033018"
"今津上体育館","滋賀県高島市今津町上弘部486","35.40772","136.007977"
"高島市民会館","滋賀県高島市今津町中沼1-3-1","35.39913","136.033806"
"今津東コミュニティセンター","滋賀県高島市今津町中沼1-4-1","35.398957","136.034449"
"今津北小学校","滋賀県高島市今津町日置前100","35.422222","136.024706"
"今津北体育館","滋賀県高島市今津町日置前100","35.422248","136.02543"
"今津北コミュニティセンター","滋賀県高島市今津町日置前149-1","35.421951","136.024172"
"今津総合運動公園","滋賀県高島市今津町日置前3110","35.41763","135.998989"
"ＥＣＣ学園高等学校","滋賀県高島市今津町椋川512-1","35.404033","135.908982"
"高島小学校","滋賀県高島市勝野1045","35.295207","136.006691"
"高島中学校","滋賀県高島市勝野1070","35.296202","136.006028"
"アイリッシュパーク","滋賀県高島市勝野670","35.300565","136.010996"
"観光物産プラザ","滋賀県高島市新旭町旭1-10-1","35.355917","136.034924"
"新旭体育館","滋賀県高島市新旭町旭818","35.353361","136.038373"
"新旭武道館","滋賀県高島市新旭町旭820","35.352946","136.038918"
"新旭北小学校","滋賀県高島市新旭町饗庭26","35.363846","136.030086"
"新旭南小学校","滋賀県高島市新旭町新庄853","35.344034","136.040499"
"新旭養護学校","滋賀県高島市新旭町太田988-6","35.340427","136.046388"
"新旭総合福祉センターやすらぎ荘","滋賀県高島市新旭町北畑45-1","35.349361","136.045003"
"湖西中学校","滋賀県高島市新旭町北畑564-2","35.352978","136.037427"
"静里なのはな園","滋賀県高島市新旭町藁園2305","35.352043","136.050642"
"高島こども園","滋賀県高島市野田1361","35.316215","136.00308"
