全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
401005,000000010004,福岡県北九州市,桃園武道場,モモゾノブドウジョウ,,桃園武道場,1113,,,401081,0065003,福岡県北九州市八幡東区桃園三丁目1-1,福岡県,北九州市,八幡東区桃園三丁目,1-1,,33.86567829,130.78,,,093-681-2233,,,,,,,,,8050068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010005,福岡県北九州市,青少年ボランティアステーション,セイショウネンボランティアステーション,,青少年ボランティアステーション,1399,,,401056,0018000,福岡県北九州市戸畑区汐井町1-6ウェルとばた,福岡県,北九州市,戸畑区汐井町,1-6,ウェルとばた,33.8973,130.8222,,,,,,,,,,,,8040067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010006,福岡県北九州市,子ども・若者応援センター,コドモ・ワカモノオウエンセンター,,子ども・若者応援センター,1399,,,401056,0018000,福岡県北九州市戸畑区汐井町1-6ウェルとばた,福岡県,北九州市,戸畑区汐井町,1-6,ウェルとばた,33.8973,130.8222,,,,,,,,,,,,8040067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010007,福岡県北九州市,ヤングケアラー相談支援窓口,ヤングケアラーソウダンシエンマドグチ,,ヤングケアラー相談支援窓口,1399,,,401056,0018000,福岡県北九州市戸畑区汐井町1-6ウェルとばた,福岡県,北九州市,戸畑区汐井町,1-6,ウェルとばた,33.8973,130.8222,,,,,,,,,,,,8040067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010016,福岡県北九州市,障害者しごとサポートセンター,ショウガイシャシゴトサポートセンター,,,1399,,,401056,0018000,福岡県北九州市戸畑区汐井町1-6ウェルとばた（福祉会館） （うち障害者しごとサポートセンター部分）,福岡県,北九州市,戸畑区汐井町,1-6,ウェルとばた（福祉会館） （うち障害者しごとサポートセンター部分）,33.8973,130.8222,,,,,,,,,,,,8040067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010017,福岡県北九州市,ひきこもり地域支援センター,ヒキコモリチイキシエンセンター,,ひきこもり地域支援センター,1399,,,401056,0018000,福岡県北九州市戸畑区汐井町1-6ウェルとばた（福祉会館） （うちひきこもり地域支援センター部分）,福岡県,北九州市,戸畑区汐井町,1-6,ウェルとばた（福祉会館） （うちひきこもり地域支援センター部分）,33.8973,130.8222,,,,,,,,,,,,8040067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010028,福岡県北九州市,あいおい教育支援室,アイオイキョウイクシエンシツ,,,1599,,,401099,0001000,福岡県北九州市八幡西区相生町1-20教育センター（敷地内）,福岡県,北九州市,八幡西区相生町,1-20,教育センター（敷地内）,33.8517,130.7479,,,,,,,,,,,,8060044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010029,福岡県北九州市,くろさき教育支援室,クロサキキョウイクシエンシツ,,,1599,,,401099,0067003,福岡県北九州市八幡西区黒崎三丁目3-15八幡西区役所,福岡県,北九州市,八幡西区黒崎三丁目,3-15,八幡西区役所,33.8664,130.7643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000010030,福岡県北九州市,わかぞの教育支援室,ワカゾノキョウイクシエンシツ,,,1599,,,401072,0128005,福岡県北九州市小倉南区若園五丁目1-5小倉南生涯学習センター,福岡県,北九州市,小倉南区若園五丁目,1-5,小倉南生涯学習センター,33.8456,130.8843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004324,福岡県北九州市,祇園一丁目公園トイレ,ギオン1チョウメコウエントイレ,,,2101,,,401081,0025001,福岡県北九州市八幡東区祇園一丁目1-5,福岡県,北九州市,八幡東区祇園一丁目,1-5,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
