"施設名","住所","電話番号","経度","緯度","分類"
"魚崎南地域福祉センター","東灘区魚崎南町2-9-4","078-413-2354","135.277043","34.711495","地域福祉センター"
"渦が森地域福祉センター","東灘区渦森台1-2-1","078-822-8711","135.252269","34.738345","地域福祉センター"
"向洋地域福祉センター","東灘区向洋町中6-3-2","078-857-5347","135.263876","34.688218","地域福祉センター"
"本山南地域福祉センター","東灘区本山南町7-1-20","078-452-3550","135.286106","34.724355","地域福祉センター"
"浜御影地域福祉センター","東灘区御影本町6-2-14","078-854-0476","135.255503","34.71217","地域福祉センター"
"本山地域福祉センター","東灘区岡本1-7-3","078-453-2939","135.276904","34.72816","地域福祉センター"
"魚崎地域福祉センター","東灘区魚崎中町4-3-16","078-452-5296","135.271377","34.713959","地域福祉センター"
"本山東地域福祉センター","東灘区森南町2-8-28","078-412-9393","135.290266","34.729299","地域福祉センター"
"本山西地域福祉センター","東灘区西岡本4-8-7","078-412-8513","135.264135","34.726308","地域福祉センター"
"本庄地域福祉センター","東灘区本庄町2-5-1","078-412-8470","135.291414","34.72615","地域福祉センター"
"青木南地域福祉センター","東灘区青木4-2-20","078-452-7225","135.28655","34.718914","地域福祉センター"
"御影北地域福祉センター","神戸市東灘区御影2丁目28-13","078-811-1992","135.250204","34.722464","地域福祉センター"
"六甲アイランド地域福祉センター","東灘区向洋町中3-1-6","078-857-3787","135.274465","34.687834","地域福祉センター"
"福池地域福祉センター","東灘区本山南町5-4-11","078-412-0098","135.277454","34.720747","地域福祉センター"
"住吉地域福祉センター","東灘区住吉宮町3-2-18","078-811-2828","135.263283","34.716831","地域福祉センター"
"高羽地域福祉センター","灘区楠丘町4-1-16","078-854-0481","135.240979","34.72035","地域福祉センター"
"岩屋地域福祉センター","灘区岩屋北町2-5-3","078-881-4918","135.221006","34.70619","地域福祉センター"
"鶴甲地域福祉センター","灘区鶴甲2-10-1","078-822-8709","135.236112","34.733453","地域福祉センター"
"六甲山地域福祉センター","灘区六甲山町字西谷山1878-133","078-891-1233","135.237295","34.753976","地域福祉センター"
"新在家地域福祉センター","灘区新在家南町3-2-25","078-882-5955","135.236611","34.705668","地域福祉センター"
"西郷地域福祉センター","灘区大石北町8-1","078-882-0331","135.231527","34.706943","地域福祉センター"
"王子地域福祉センター","灘区中原通7-5-1","078-881-9587","135.21893","34.711414","地域福祉センター"
"篠原地域福祉センター","灘区篠原北町2-2-37","078-801-5627","135.228469","34.722413","地域福祉センター"
"成徳地域福祉センター","灘区備後町1-3-1","078-822-6211","135.242121","34.715539","地域福祉センター"
"稗田地域福祉センター","灘区倉石通4-1-10","078-801-4340","135.221705","34.712781","地域福祉センター"
"摩耶地域福祉センター","灘区天城通3-3-7","078-801-2059","135.221594","34.71507","地域福祉センター"
"なぎさ地域福祉センター","灘区摩耶海岸通2-3-4","078-871-6122","135.220342","34.702043","地域福祉センター"
"灘地域福祉センター","灘区千旦通1-5-2","078-871-6837","135.232069","34.713403","地域福祉センター"
"六甲地域福祉センター","灘区八幡町4-8-28","078-802-3104","135.233535","34.718714","地域福祉センター"
"雲中地域福祉センター","中央区旗塚通4-4-20","078-291-0171","135.20161","34.704615","地域福祉センター"
"東川崎地域福祉センター","中央区東川崎町5-1-1","078-652-3866","135.180813","34.67429","地域福祉センター"
"宮本地域福祉センター","中央区宮本通3-1-5","078-251-3751","135.210779","34.706836","地域福祉センター"
"籠池地域福祉センター","中央区籠池通2-1-5","078-261-1544","135.210132","34.711395","地域福祉センター"
"下山手地域福祉センター","中央区北長狭通7-3-13","078-362-5844","135.178643","34.684492","地域福祉センター"
"北野地域福祉センター","中央区中山手通2-17-18","078-241-7139","135.189162","34.696479","地域福祉センター"
"神戸諏訪山地域福祉センター","中央区北長狭通4-9-5","078-331-5063","135.185769","34.69092","地域福祉センター"
"吾妻地域福祉センター","中央区吾妻通5-1-12","078-251-1391","135.203869","34.698266","地域福祉センター"
"小野柄地域福祉センター","中央区旭通2-4-9","078-221-5666","135.199744","34.697366","地域福祉センター"
"橘地域福祉センター","中央区橘通3-4-1","078-341-6322","135.174391","34.681179","地域福祉センター"
