"緊急避難場所","避難所の利用","施設名称","住所","電話番号","土砂災害","洪水","津波","備考","経度","緯度","分類"
"○","○","東灘小学校","神戸市東灘区深江北町2-4-1","078-411-0556","○","○","〇","","135.2944292","34.7248161334421","屋内の緊急避難場所"
"○","○","本庄小学校","神戸市東灘区青木4-4-1","078-411-0339","○","○","×","","135.2886997","34.721020253437","屋内の緊急避難場所"
"○","○","本庄中学校","神戸市東灘区青木4-4-2","078-411-2261","○","○","×","","135.2875439","34.7204612634363","屋内の緊急避難場所"
"○","○","東灘高校","神戸市東灘区深江浜町50","078-452-9600","○","○","×","","135.3010486","34.7099789334222","屋内の緊急避難場所"
"○","○","神戸大学海洋政策科学部","神戸市東灘区深江南町5-1-1","078-431-6200","○","○","×","","135.2883578","34.718744433434","屋内の緊急避難場所"
"○","○","魚崎小学校","神戸市東灘区魚崎中町4-10-8","078-411-6196","○","○","○","","135.271257","34.7149660334289","屋内の緊急避難場所"
"○","○","灘中・高校","神戸市東灘区魚崎北町8-5-1","078-411-7234","○","○","○","","135.2684539","34.7191636334345","屋内の緊急避難場所"
"○","○","本山第一小学校","神戸市東灘区本山北町3-10-1","078-411-1974","○","○","○","","135.2789056","34.7289433334476","屋内の緊急避難場所"
"○","○","甲南女子中・高校","神戸市東灘区森北町5-6-1","078-411-2531","○","○","○","","135.2917292","34.7349206334557","屋内の緊急避難場所"
"○","","甲南女子大学","神戸市東灘区森北町6-2-23","078-431-0391","○","○","○","","135.287471","34.7348020334555","屋内の緊急避難場所"
"○","○","神戸薬科大学","神戸市東灘区本山北町4-19-1","078-453-0031","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難","135.2832689","34.7331150334532","屋内の緊急避難場所"
"○","○","本山第二小学校","神戸市東灘区西岡本1-3-1","078-431-1441","○","○","○","","135.2695758","34.7253269334428","屋内の緊急避難場所"
"○","○","本山中学校","神戸市東灘区岡本3-3-1","078-411-3742","○","○","○","","135.2709397","34.7256325334432","屋内の緊急避難場所"
"○","○","甲南大学","神戸市東灘区岡本8-9-1","078-431-4341","△","○","○","《土砂災害時》土砂災害警戒区域外（本山第二小学校）へ避難。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可","135.2679925","34.7297340334487","屋内の緊急避難場所"
"○","○","本山第三小学校","神戸市東灘区本山中町1-2-35","078-411-0005","○","○","○","","135.2864103","34.7280906334465","屋内の緊急避難場所"
"○","○","住吉小学校","神戸市東灘区住吉東町4-1-31","078-851-2887","○","○","○","","135.264485","34.7175747334324","屋内の緊急避難場所"
"○","○","住之江公民館","神戸市東灘区住吉宮町2-2-3","078-822-1300","○","○","○","","135.2636564","34.7139751334276","屋内の緊急避難場所"
"○","○","住之江公民館別館","神戸市東灘区住吉宮町2-1-3","078-822-1300","○","○","○","","135.2646774","34.714302333428","屋内の緊急避難場所"
"○","○","呉田会館","神戸市東灘区住吉南町4-6-23","078-841-4060","○","○","○","","135.2624866","34.7107873334233","屋内の緊急避難場所"
"○","○","御影小学校","神戸市東灘区御影石町3-1-1","078-851-3673","○","○","○","","135.2515083","34.7148111334287","屋内の緊急避難場所"
"○","○","御影高校","神戸市東灘区御影石町4-1-1","078-841-1501","○","○","○","","135.250575","34.7169608334316","屋内の緊急避難場所"
"○","○","御影公会堂","神戸市東灘区御影石町4-4-1","078-841-2281","○","○","○","","135.2492512","34.7160708334304","屋内の緊急避難場所"
"○","○","御影北小学校","神戸市東灘区御影山手1-12-1","078-851-6809","○","○","○","","135.2488056","34.7246294334419","屋内の緊急避難場所"
"○","○","頌栄短期大学","神戸市東灘区御影山手1-18-1","078-842-2541","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意","135.2491389","34.7274431334456","屋内の緊急避難場所"
"○","○","渦が森小学校","神戸市東灘区渦森台1-12-1","078-851-3185","○","○","○","","135.2503494","34.7389833334611","屋内の緊急避難場所"
"○","","幼保連携型認定こども園同朋住吉台こども園","神戸市東灘区住吉台25-7","078-846-6011","○","○","○","","135.2567989","34.7386169334606","屋内の緊急避難場所"
"○","○","六甲アイランド小学校","神戸市東灘区向洋町中2-7","078-857-3121","－","－","○","","135.2744986","34.6888558333938","屋内の緊急避難場所"
"○","○","向洋中学校","神戸市東灘区向洋町中2","078-857-2481","－","－","○","","135.2740625","34.6899361333953","屋内の緊急避難場所"
