"緊急避難場所","施設名称","住所","地震・大火","津波","備考","経度","緯度","分類"
"○","本庄小学校グラウンド","神戸市東灘区青木4-4-1","○","×","","135.2887744","34.7205442634364","屋外の緊急避難場所"
"○","本庄中学校グラウンド","神戸市東灘区青木4-4-2","○","×","","135.2878902","34.7200913634358","屋外の緊急避難場所"
"○","本庄中央公園","神戸市東灘区青木5-18","○","×","","135.2850366","34.719555833435","屋外の緊急避難場所"
"○","神戸大学テニスコート","神戸市東灘区青木4-1","○","×","","135.2884419","34.7196558334352","屋外の緊急避難場所"
"○","本山第二小学校グラウンド","神戸市東灘区西岡本1-3-1","○","○","","135.2697398","34.7248995134422","屋外の緊急避難場所"
"○","本山中学校グラウンド","神戸市東灘区岡本3-3-1","○","○","","135.270999","34.7251178734425","屋外の緊急避難場所"
"○","住吉小学校グラウンド","神戸市東灘区住吉東町4-1-31","○","○","","135.2647052","34.7167294034313","屋外の緊急避難場所"
"○","住吉宮町公園","神戸市東灘区住吉宮町3-2","○","○","","135.2635727","34.7167953634313","屋外の緊急避難場所"
"○","住吉公園","神戸市東灘区住吉宮町3-3","○","○","","135.2624276","34.7162364334306","屋外の緊急避難場所"
"○","御影小学校グラウンド","神戸市東灘区御影石町3-1-1","○","○","","135.2516708","34.7144219734282","屋外の緊急避難場所"
"○","御影幼稚園グラウンド","神戸市東灘区御影石町3-13-1","○","○","","135.2509169","34.7153599434294","屋外の緊急避難場所"
"○","渦が森小学校グラウンド","神戸市東灘区渦森台1-12-1","○","○","","135.2506612","34.7388364334609","屋外の緊急避難場所"
"○","福池小学校グラウンド","神戸市東灘区本山南町4-4-28","○","○","","135.2792437","34.7214732934376","屋外の緊急避難場所"
"○","小寄公園","神戸市東灘区本山南町4-4","○","○","","135.280288","34.7217030334379","屋外の緊急避難場所"
"○","神大附属中等教育学校グラウンド","神戸市東灘区住吉山手5-11-1","○","○","","135.2543272","34.7316455434513","屋外の緊急避難場所"
"○","本山南中学校グラウンド","神戸市東灘区田中町4-12-1","○","○","","135.2708927","34.7233584834401","屋外の緊急避難場所"
"○","手水公園","神戸市東灘区田中町3-16","○","○","","135.2714449","34.7241141734412","屋外の緊急避難場所"
"○","御影中学校グラウンド","神戸市東灘区御影中町5-1-1","○","○","","135.2535562","34.7156447334298","屋外の緊急避難場所"
"○","御影公園","神戸市東灘区御影中町5-1","○","○","","135.2541769","34.7149921034289","屋外の緊急避難場所"
"○","魚崎中学校グラウンド","神戸市東灘区魚崎南町1-2-1","○","×","","135.2796862","34.7134094334268","屋外の緊急避難場所"
"○","瀬戸公園","神戸市東灘区魚崎南町1-2","○","×","","135.2801512","34.7127397334259","屋外の緊急避難場所"
"○","森公園","神戸市東灘区森南町2-10","○","○","","135.290864","34.7298510334488","屋外の緊急避難場所"
"○","神戸大学","神戸市灘区六甲台町1-1","○","○","","135.2336932","34.7256602334432","屋外の緊急避難場所"
"○","成徳小学校グラウンド","神戸市灘区備後町1-3-1","○","○","","135.2423584","34.7152821434293","屋外の緊急避難場所"
"○","成徳公園","神戸市灘区備後町1-3","○","○","","135.2421362","34.7147488734286","屋外の緊急避難場所"
"○","大和公園","神戸市灘区中郷町5-1　他","○","○","","135.2429643","34.716518773431","屋外の緊急避難場所"
"○","六甲風の郷公園","神戸市灘区六甲町2-4-25","○","○","","135.235168","34.7155260334296","屋外の緊急避難場所"
"○","六甲道南公園","神戸市灘区桜口4　他","○","○","","135.238937","34.712787033426","屋外の緊急避難場所"
"○","王子公園","神戸市灘区王子町2-1　他","○","○","","135.2169476","34.7100258334223","屋外の緊急避難場所"
"○","西郷川河口公園","神戸市灘区摩耶海岸通2-1","○","○","","135.2248194","34.7021519334117","屋外の緊急避難場所"
"○","摩耶海岸通公園","神戸市灘区摩耶海岸通1-2","○","×","《津波時》念のため海岸から離れ、北へ避難","135.2215447","34.7000798334089","屋外の緊急避難場所"
