2．東区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,大幸公園,東区大幸三丁目,3.19 ,S16
2,木ケ崎公園,東区矢田三丁目,2.10 ,S25
3,徳川園,東区徳川町,4.53 ,S7
5,七小公園,東区泉二丁目,0.40 ,S24
6,舎人公園,東区泉三丁目,0.11 ,S25
7,松山公園,東区東桜二丁目,0.08 ,S29
8,布池公園,東区葵一丁目,0.40 ,S27
9,東橦木公園,東区徳川一丁目、代官町、筒井一丁目,0.11 ,S30
10,黒門公園,東区車道町２丁目,0.38 ,S26
11,矢田公園,東区矢田南四丁目,0.44 ,S27
12,矢田第二公園,東区矢田南四丁目,0.23 ,S31
13,六所社公園,東区矢田南二丁目,0.19 ,S27
14,主税町公園,東区主税町２丁目,0.50 ,S45
15,山吹谷公園,東区橦木町２丁目,0.51 ,S47
16,新出来公園,東区出来町三丁目,0.56 ,S49
17,代官公園,東区代官町,0.08 ,S50
18,大幸東公園,東区砂田橋二丁目,0.17 ,S50
19,西二葉公園,東区白壁二丁目,0.05 ,S53
20,東芳野公園,東区芳野一丁目,0.08 ,S53
21,山口公園,東区山口町,0.04 ,S53
22,主税町東公園,東区主税町４丁目,0.12 ,S55
23,大曽根公園,東区徳川二丁目,0.06 ,S55
24,山口南公園,東区山口町,0.06 ,S55
25,長久寺公園,東区白壁三丁目,0.09 ,S55
26,東白壁公園,東区白壁五丁目,0.48 ,S55
27,大幸第二公園,東区砂田橋三丁目,1.65 ,S55
28,明倫公園,東区出来町一丁目,0.53 ,S57
29,明倫南公園,東区大松町,0.07 ,S58
30,旭丘公園,東区徳川一丁目,0.06 ,S58
31,平田公園,東区代官町,0.03 ,S58
32,東大曽根第一公園,東区東大曽根町,0.06 ,S58
33,東大曽根第二公園,東区東大曽根町,0.03 ,S58
35,鍋屋上野公園,東区大幸南二丁目,0.14 ,S58
36,竪代官公園,東区代官町,0.05 ,S58
37,石神公園,東区筒井三丁目,0.06 ,S58
38,大幸緑道,"東区砂田橋一丁目、砂田橋三丁目、砂田橋五丁目
千種区宮の腰町",0.72 ,S59
39,橦木公園,東区橦木町３丁目,0.04 ,S60
40,古出来公園,東区古出来二丁目,0.08 ,S61
41,城番公園,東区筒井三丁目,0.10 ,S61
42,山田東公園,東区矢田一丁目,0.17 ,H5
43,筒井公園,東区筒井二丁目,0.02 ,H7
44,裏筒井公園,東区筒井二丁目,0.09 ,H7
45,建中寺公園,東区筒井一丁目,0.79 ,H11
46,黒門東公園,東区黒門町,0.02 ,H12
47,車道東第二公園,東区筒井三丁目,0.05 ,H14
48,芳野公園,東区芳野三丁目,0.03 ,H14
49,新出来西公園,東区新出来二丁目,0.15 ,H15
50,矢田北公園,東区矢田四丁目,0.05 ,H15
51,泉富士塚公園,東区泉一丁目,0.05 ,H16
52,裏筒井第二公園,東区筒井二丁目,0.02 ,H24
53,手代往還公園,東区筒井二丁目,0.04 ,H29
54,東二葉公園,東区白壁三丁目,0.04 ,H29
55,車道東第一公園,東区筒井三丁目,0.10 ,H30
56,安房公園,東区葵二丁目,0.06 ,H30
57,板屋水筒先公園,東区葵二丁目,0.10 ,R6
