3．北区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,志賀公園,北区平手町２丁目,5.25 ,S10
2,田幡公園,北区金城三丁目,0.36 ,S17
3,川中公園,北区光音寺町字野方、中切町字石原,0.61 ,S19
4,光音寺公園,北区野方通３丁目、光音寺町字野方,0.27 ,S31
5,東志賀公園,北区志賀町４丁目,0.58 ,S31
6,稚児宮公園,北区稚児宮通２丁目,0.22 ,S31
7,福徳公園,北区福徳町５丁目,0.12 ,S29
8,成願寺公園,北区安井二丁目,0.25 ,S31
9,稲生公園,"北区福徳町字七合
西区稲生町字杁先",0.36 ,S19
10,清水公園,北区清水五丁目,0.41 ,S25
11,柳原公園,北区柳原一丁目,0.12 ,S29
12,大杉公園,北区大杉三丁目,0.28 ,S28
13,辻公園,北区志賀町５丁目,0.08 ,S34
14,萩野公園,北区大野町１丁目,0.32 ,S34
15,成願寺西部公園,北区川中町,0.14 ,S38
16,船附公園,北区大杉一丁目,0.04 ,S43
17,水分橋緑地,"北区成願寺町字米ケ瀬、字西浦、字寺西、字北野、
　　安井町字河野、字薬師浦、米が瀬町
　　楠町大字味鋺字堂の前、字井之元、字政所、
　　字南山、字生棚、字南中田、字南合戸、
　　字冥加、字名栗、字天道",17.60 ,S43
18,天道公園,北区天道町１丁目,0.19 ,S46
19,猿塚公園,北区川中町,0.07 ,S46
20,会所公園,北区会所町,0.29 ,S46
21,喜惣治第一公園,北区喜惣治一丁目,0.19 ,S49
22,味鋺公園,北区楠味鋺二丁目,0.14 ,S50
23,名北公園,北区真畔町,0.10 ,S50
24,菱池公園,北区五反田町,0.25 ,S50
25,北浦公園,北区如意二丁目,0.25 ,S50
26,大山公園,北区如意四丁目,0.16 ,S50
27,富士塚公園,北区三軒町,0.17 ,S50
28,喜惣治第二公園,北区喜惣治一丁目,0.20 ,S51
29,上飯田南公園,北区上飯田南町５丁目,0.14 ,S51
30,味鋺西公園,北区西味鋺三丁目,0.14 ,S51
31,水分橋東緑地,北区楠町大字味鋺字外畑,1.39 ,S51
32,丸新公園,北区丸新町,0.25 ,S53
33,喜惣治第三公園,北区喜惣治一丁目,0.19 ,S53
34,清水南公園,北区清水二丁目,0.06 ,S53
35,玄馬公園,北区玄馬町,0.25 ,S54
36,高坪公園,北区丸新町,0.18 ,S54
37,大杉南公園,北区大杉町一丁目,0.04 ,S55
38,金作公園,北区清水四丁目,0.18 ,S55
39,すずらん公園,北区東大杉町４丁目,0.14 ,S55
40,六が池公園,北区六が池町,0.25 ,S56
41,平山公園,北区如意三丁目,0.22 ,S56
42,尼ヶ坂公園,"北区大杉一丁目
東区白壁三丁目",0.36 ,S56
43,生棚公園,北区五反田町,0.32 ,S57
44,深田公園,北区清水三丁目,0.05 ,S57
45,八坪南公園,北区清水三丁目,0.06 ,S57
46,柳原北公園,北区柳原二丁目,0.04 ,S57
47,東杉公園,北区杉村一丁目,0.05 ,S57
48,杉村公園,北区杉村一丁目,0.05 ,S57
49,大我麻公園,北区大我麻町,0.99 ,S58
50,八坪北公園,北区清水四丁目,0.08 ,S58
51,杉村東公園,北区大曽根一丁目,0.08 ,S58
52,辻町公園,北区辻町１丁目、大野町５丁目,0.65 ,S58
53,西杉公園,北区清水二丁目,0.04 ,S58
54,清水北公園,北区清水五丁目,0.10 ,S59
55,楠公園,北区若鶴町,4.82 ,S61
56,飯田公園,北区山田二丁目,0.64 ,S61
57,ながた公園,北区長田町４丁目,0.13 ,S62
58,味鋺東公園,北区東味鋺二丁目,0.13 ,H2
59,"上飯田東
なかよし公園",北区上飯田東町一丁目,0.02 ,H4
60,楠味鋺公園,北区楠味鋺四丁目,0.08 ,H7
61,山田緑地,北区山田町４丁目,0.02 ,H7
62,山田ふれあい緑地,北区山田町３丁目,0.02 ,H8
63,深田西公園,北区柳原四丁目,0.04 ,H9
64,落合公園,北区落合町,0.16 ,H11
65,古径公園,北区平安一丁目,0.04 ,H11
66,中味鋺公園,北区中味鋺三丁目,0.09 ,H12
67,六郷三桜公園,北区大曽根四丁目,0.11 ,H12
68,上飯田東緑地,北区上飯田東町１丁目,0.02 ,H14
69,六郷西公園,北区大曽根四丁目,0.05 ,H18
70,山田なかよし公園,北区山田町４丁目,0.03 ,H19
71,山田北なかよし公園,北区山田北町1丁目,0.02 ,H19
72,大曽根ふれあい公園,北区大曽根二丁目,0.02 ,H20
73,宮前ふれあい公園,北区上飯田東町４丁目,0.03 ,H21
74,"上飯田東第二
なかよし公園",北区上飯田東町３丁目,0.04 ,H23
75,上飯田東さくら公園,北区上飯田東町５丁目,0.10 ,H23
76,宮前北公園,北区上飯田東町３丁目,0.10 ,H25
77,"上飯田東第三
なかよし公園",北区上飯田東町３丁目,0.02 ,H26
78,金田公園,北区金田町２丁目,0.10 ,H28
79,"山田北第二
なかよし公園",北区山田北町２丁目,0.02 ,H29
80,山田北公園,北区山田北町１丁目,0.10 ,H29
81,上飯田東公園,北区上飯田東町２丁目,0.10 ,H30
82,"上飯田東第四
なかよし公園",北区上飯田東町５丁目,0.02 ,R1
83,山田公園,北区山田町３丁目,0.09 ,R3
84,"山田北第三
なかよし公園",北区山田北町２丁目,0.04 ,R4
