15．名東区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,虹ヶ丘公園,名東区にじが丘３丁目,0.92 ,S35
2,植園公園,名東区植園町３丁目,1.00 ,S35
3,代万公園,名東区代万町２丁目,0.20 ,S35
4,神丘公園,名東区神丘町３丁目,1.79 ,S35
5,神丘東公園,名東区神丘町２丁目,0.05 ,S35
6,西里公園,名東区西里町２丁目,0.21 ,S35
7,西山中公園,名東区西山本通２丁目,1.04 ,S35
8,神里公園,名東区神里二丁目,0.22 ,S42
9,西一社第一公園,名東区高社二丁目,0.22 ,S44
10,大廻間第二公園,名東区高間町,0.25 ,S45
11,明が丘公園,名東区明が丘,1.87 ,S45
12,富が丘公園,名東区富が丘,0.25 ,S45
13,藤見が丘公園,名東区藤見が丘,0.23 ,S45
14,高針第一公園,名東区新宿一丁目,0.13 ,S45
15,高針第二公園,名東区新宿一丁目,0.22 ,S45
16,町田公園,名東区高間町,0.15 ,S46
17,濁池公園,名東区平和が丘四丁目,0.10 ,S46
18,極楽公園,名東区極楽三丁目,0.30 ,S47
19,大廻間第一公園,名東区高間町,0.08 ,S47
20,大廻間第三公園,名東区高間町,0.11 ,S47
21,大廻間第四公園,名東区亀の井一丁目,0.15 ,S47
22,越前公園,名東区亀の井三丁目,0.39 ,S49
23,大廻間第五公園,名東区名東本町,0.02 ,S49
24,大針北公園,名東区大針一丁目,0.23 ,S49
25,藤森第一公園,名東区藤森一丁目,0.28 ,S49
26,藤森第二公園,名東区藤森二丁目,0.34 ,S49
27,上社北公園,名東区上社二丁目,0.24 ,S49
28,本郷公園,名東区本郷一丁目,1.61 ,S49
29,本郷南公園,名東区本郷二丁目,0.23 ,S49
30,大針第二公園,名東区大針二丁目,0.22 ,S50
31,瓶ノ井公園,名東区高間町,0.24 ,S50
32,上社西部第二公園,名東区社口一丁目,0.24 ,S50
33,平和が丘第一公園,名東区平和が丘三丁目,0.22 ,S50
