12．南区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,呼続公園,南区呼続四丁目,4.35 ,S29
2,道徳公園,南区道徳新町５丁目,3.57 ,S16
3,道徳東部公園,南区忠次二丁目,0.25 ,S27
4,弥次衛公園,南区弥次ヱ町２丁目,0.36 ,S29
5,本城公園,南区本城町１丁目,0.31 ,S29
6,観音公園,南区観音町１丁目,0.24 ,S18
7,桜公園,南区元桜田町２丁目,0.30 ,S24
8,四条公園,南区三条二丁目,0.50 ,S25
9,三吉公園,南区三吉町３丁目、鳴浜町３丁目,0.43 ,S25
10,粕畠公園,南区粕畠町１丁目,0.30 ,S28
11,丹八山公園,南区鳥山町２丁目、笠寺町字迫間,0.33 ,S30
12,宝生公園,南区宝生町３丁目,1.61 ,S32
13,中江公園,南区中江二丁目,0.51 ,S33
14,源兵衛公園,南区源兵衛町５丁目,0.62 ,S34
15,戸部下公園,南区戸部下町,0.28 ,S35
16,御替地公園,南区豊田三丁目,0.15 ,S38
17,御替地東公園,南区豊田二丁目,0.07 ,S42
18,要公園,南区要町４丁目,0.46 ,S42
19,元柴田公園,南区元柴田東町１丁目,0.74 ,S42
20,星崎第一公園,南区星崎一丁目,0.30 ,S42
21,星崎第二公園,南区元鳴尾町,0.22 ,S42
22,阿原公園,南区阿原町,0.40 ,S42
23,南野公園,南区南野二丁目,0.31 ,S42
24,浜田公園,南区浜田町２丁目,0.11 ,S44
25,平子第一公園,南区平子二丁目,0.29 ,S44
26,平子第二公園,南区平子二丁目,0.30 ,S44
27,元塩公園,南区元塩町２丁目、３丁目,1.74 ,S44
28,赤坪公園,南区赤坪町,0.89 ,S45
29,白雲公園,南区白雲町,0.14 ,S45
30,本星崎公園,南区本星崎町字町,0.13 ,S45
31,杓子田公園,南区明円町,0.29 ,S45
32,砂口公園,南区砂口町,0.16 ,S46
33,鳴尾公園,南区鳴尾二丁目,0.59 ,S46
34,松風公園,南区元鳴尾町,0.26 ,S46
35,星宮公園,南区星宮町,0.24 ,S47
36,芝公園,南区芝町,0.29 ,S49
37,豊田公園,南区明治一丁目,0.08 ,S49
38,上浜公園,南区上浜町,0.25 ,S50
39,鳴浜公園,南区鳴浜町７丁目,0.03 ,S50
40,千鳥公園,南区天白町４丁目,1.51 ,S51
41,水袋公園,南区神松町３丁目,1.57 ,S51
42,南野第三公園,南区南野二丁目、丹後通５丁目,0.25 ,S51
43,忠道公園,南区忠次一丁目,1.85 ,S52
44,大生公園,南区東又兵ヱ町１丁目,0.56 ,S52
45,上浜南公園,南区上浜町,0.65 ,S53
46,南野第四公園,南区南野三丁目,0.11 ,S53
47,南野第二公園,南区南野二丁目,0.33 ,S54
48,滝春公園,南区滝春町,0.08 ,S54
49,石元公園,南区石元町３丁目,0.09 ,S55
50,大江川緑地,"南区元塩町１丁目、２丁目、３丁目、４丁目、
　　６丁目、宝生町３丁目、４丁目、
　　神松町１丁目、２丁目、３丁目、
　　丹後通２丁目、５丁目、南野一丁目、
　　星崎町字繰出",11.50 ,S55
51,戸部公園,南区戸部町１丁目,0.08 ,S56
52,駈上公園,南区駈上二丁目,0.06 ,S56
53,内田橋南第一公園,南区内田橋一丁目,0.14 ,S61
54,内田橋南第二公園,南区内田橋二丁目,0.15 ,S61
55,豊公園,南区豊二丁目,0.11 ,S61
56,丹後公園,南区南野一丁目,1.67 ,S62
57,滝春南公園,南区滝春町,0.04 ,S63
58,霞公園,南区霞町,0.18 ,H1
59,やじえ緑地,南区弥次エ町五丁目,0.04 ,H2
60,鶴里公園,南区鶴里町３丁目、鯛取通５丁目,0.67 ,H3
61,明円公園,南区明円町,0.24 ,H3
62,宝公園,南区北頭町２丁目、中割町２丁目,0.89 ,H3
63,松下町公園,南区松下町一丁目,0.08 ,H3
64,笠寺公園,南区弥生町、白雲町、見晴町、貝塚町,6.49 ,H3
65,泉楽公園,南区泉楽通四丁目、七条町一丁目、二丁目,0.79 ,H3
66,伝馬公園,南区豊二丁目,0.30 ,H7
67,駈上第二公園,南区駈上二丁目,0.02 ,H12
68,駈上第三公園,南区駈上二丁目,0.02 ,H12
69,赤坪南公園,南区赤坪町,0.26 ,H13
70,明豊公園,南区豊三丁目,0.13 ,H15
71,大生西公園,南区西又兵ヱ町4丁目,0.11 ,H20
72,白水東公園,南区白水町,0.03 ,H20
73,菊住公園,南区菊住一丁目,0.13 ,H21
74,元柴田南公園,南区元柴田東町３丁目,0.03 ,H21
75,松下町東公園,南区松下町３丁目,0.02 ,H25
76,豊田南公園,南区豊田五丁目,0.31 ,H27
77,戸部下北公園,南区戸部下一丁目,0.10 ,H28
78,大堀公園,南区大堀町,0.06 ,H29
79,白水公園,南区白水町、滝春町,1.64 ,R1
