8．瑞穂区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,瑞穂公園,"瑞穂区萩山町３丁目、４丁目、師長町、
　　　山下通５丁目、豊岡通３丁目、
　　　田辺通３丁目、４丁目",24.46 ,S16
2,下山公園,瑞穂区田辺通３丁目,0.33 ,S10
3,内浜公園,瑞穂区内浜町,0.49 ,S15
4,瑞穂ケ丘公園,瑞穂区洲山町１丁目,0.15 ,S27
5,弥富公園,瑞穂区弥富ケ丘町３丁目,2.19 ,S28
6,中根公園,瑞穂区白砂町４丁目,0.86 ,S28
7,竹田公園,瑞穂区竹田町４丁目,0.08 ,S29
8,新開公園,瑞穂区新開町,0.35 ,S29
9,穂波公園,瑞穂区浮島町,0.20 ,S35
10,田辺公園,瑞穂区田辺通３丁目,0.30 ,S45
11,牛巻公園,瑞穂区牛巻町,0.13 ,S46
12,堀田公園,瑞穂区新開町,0.19 ,S47
13,茨木第二公園,瑞穂区茨木町,0.23 ,S49
14,浜新公園,瑞穂区荒崎町,0.08 ,S49
15,緑ケ岡公園,瑞穂区弥富町字緑ケ岡,0.03 ,S50
16,中根南部公園,瑞穂区関取町,0.50 ,S50
17,本願寺公園,瑞穂区本願寺町３丁目,0.08 ,S51
18,土市公園,瑞穂区土市町１丁目,0.12 ,S52
19,東栄公園,瑞穂区東栄町５丁目,0.11 ,S52
20,柏木公園,瑞穂区柏木町１丁目,0.15 ,S53
21,下山南公園,瑞穂区下山町２丁目,0.08 ,S54
22,佐渡公園,瑞穂区佐渡町５丁目,0.07 ,S56
23,茨木第一公園,瑞穂区茨木町,0.16 ,S57
24,豆田公園,瑞穂区豆田町３丁目,0.25 ,S57
25,大喜公園,瑞穂区大喜町１丁目,0.03 ,S57
26,惣作公園,瑞穂区惣作町２丁目,0.36 ,S58
27,密柑山公園,瑞穂区弥富町字密柑山,0.52 ,S60
29,船原公園,瑞穂区船原町６丁目,0.13 ,H9
30,仁所公園,瑞穂区仁所町２丁目,0.07 ,H11
31,初日公園,瑞穂区初日町２丁目,0.10 ,H12
32,緑ヶ岡東公園,瑞穂区弥富町字緑ケ岡,0.04 ,H16
33,清水ケ岡公園,瑞穂区弥富町字清水ケ岡,0.06 ,R1
34,駒場公園,瑞穂区駒場町５丁目、６丁目,0.06 ,R3
