13．守山区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,天神橋緑地,"守山区瀬古一丁目、大字瀬古字高見、
　　大字守山字川田
北区上飯田東町２丁目、５丁目
　　上飯田北町４丁目、
　　辻町６丁目、字古新田、山田北町１丁目、
　　山田北町２丁目",9.35 ,S42
2,矢田川橋緑地,"守山区鳥羽見一丁目、市場、新守山、
北区山田北町１丁目、矢田町１丁目
東区矢田町２丁目、字寺畑",10.79 ,S42
3,千代田橋緑地,"守山区大字廿軒家字八反、大字小幡字川崎、
　　字小六、大字守山字更屋敷
千種区千代田橋一丁目
東区砂田橋二丁目、砂田橋三丁目、砂田橋四丁目",15.00 ,S42
4,金屋第一公園,守山区金屋一丁目,0.16 ,S43
5,金屋第二公園,守山区金屋二丁目,0.36 ,S43
6,守牧公園,守山区守牧町,0.32 ,S43
7,白沢公園,守山区白沢町,0.31 ,S47
8,志中公園,守山区大字中志段味字可良素、字湿ケ,0.08 ,S48
9,深沢公園,守山区深沢二丁目,0.03 ,S49
10,唐池公園,守山区大字中志段味字唐池,0.09 ,S49
11,西新田公園,守山区大森二丁目,0.19 ,S49
12,五反田公園,守山区大森一丁目,0.19 ,S49
13,白晴公園,守山区大森四丁目,0.25 ,S49
14,山ノ田公園,守山区大森五丁目,0.20 ,S49
15,定納公園,守山区向台二丁目,0.15 ,S49
16,白山公園,守山区本地が丘,0.02 ,S49
17,山下公園,守山区村合町,1.38 ,S50
18,松坂公園,守山区松坂町,0.27 ,S50
19,川村公園,守山区川村町,0.41 ,S50
20,稲荷前公園,守山区小幡中二丁目,0.01 ,S50
21,上島公園,守山区深沢一丁目,0.08 ,S50
22,深沢西公園,守山区深沢一丁目,0.15 ,S50
23,小六公園,守山区小六町,0.13 ,S51
24,脇田公園,守山区脇田町,0.23 ,S52
25,西城公園,守山区西城二丁目,0.03 ,S52
26,高島公園,守山区高島町,0.31 ,S53
27,檀ノ浦公園,守山区御膳洞,0.41 ,S53
28,北山公園,守山区大字小幡字北山,0.02 ,S53
29,元牧公園,守山区村前町,0.28 ,S54
30,東島公園,守山区大森三丁目,0.25 ,S54
31,下市場公園,守山区天子田一丁目,1.67 ,S54
32,稲荷前南公園,守山区小幡中二丁目,0.06 ,S54
33,白山南公園,守山区森孝東二丁目,0.03 ,S54
34,松坂南公園,守山区松坂町,0.02 ,S55
