6．中区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,西川端公園,中区富士見町,0.15 ,S30
2,名城公園,"中区本丸、二の丸、三の丸一丁目、
　　三の丸二丁目、三の丸三丁目、
　　三の丸四丁目
北区名城一丁目
西区樋の口町
東区白壁一丁目",79.78 ,S6
3,矢場公園,中区栄三丁目,0.59 ,S25
4,那古野山古墳公園,中区大須二丁目,0.06 ,T13
5,大須公園,中区大須三丁目,0.08 ,S28
6,千早公園,中区新栄一丁目,0.61 ,S28
7,老松東公園,中区千代田五丁目,0.04 ,S28
8,下茶屋公園,中区橘二丁目,0.72 ,S26
9,古沢公園,中区金山一丁目,0.52 ,S30
10,長岡公園,中区金山二丁目,0.12 ,S29
11,仲ノ町公園,中区栄一丁目,0.85 ,S27
12,松原公園,中区松原三丁目,0.60 ,S26
13,正木公園,中区正木二丁目,0.75 ,S25
14,裏門前公園,中区大須三丁目,0.25 ,S26
15,大池公園,中区千代田二丁目,0.11 ,S38
16,白川公園,中区栄二丁目,8.93 ,S42
17,西大須公園,中区大須一丁目,0.49 ,S43
18,老松公園,中区千代田一丁目,0.75 ,S43
19,橘公園,中区橘一丁目,0.48 ,S43
20,本町公園,中区丸の内三丁目,0.33 ,S44
21,池田公園,中区栄四丁目,0.47 ,S44
22,久屋大通公園,"中区丸の内三丁目、錦三丁目、栄三丁目、
　　大須四丁目
東区東桜一丁目",16.25 ,S45
23,葉場公園,中区平和一丁目,1.47 ,S46
24,金山公園,中区正木三丁目,0.67 ,S48
25,若宮大通公園,"中区大須一丁目、大須二丁目、大須三丁目、
　　大須四丁目、千代田一丁目、千代田五丁目
千種区吹上一丁目",11.97 ,S54
26,向田公園,中区金山五丁目,0.12 ,S57
27,七本松公園,中区千代田三丁目,0.09 ,S62
28,下園公園,中区錦一丁目,0.61 ,S62
29,新栄公園,中区新栄三丁目,0.46 ,H1
30,上前津東公園,中区上前津二丁目,0.11 ,H4
31,千代田南公園,中区千代田四丁目,0.03 ,H5
32,前塚公園,中区橘一丁目,0.09 ,H9
33,正木南公園,中区正木四丁目,0.08 ,H11
