10．中川区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,松蔭公園,"中川区下之一色町字流レ、字干潟、
　　　字松蔭 1丁目、字松蔭 2丁目",1.19 ,S12
2,松葉公園,中川区太平通１丁目,3.09 ,S16
3,八幡中央公園,中川区八神町１丁目,0.54 ,S16
4,外新町公園,中川区外新町１丁目,0.23 ,S24
5,八剱公園,中川区八剱町４丁目,0.13 ,S24
6,二女子第一公園,中川区二女子町２丁目,0.44 ,S25
7,二女子第二公園,中川区二女子町３丁目,0.14 ,S27
8,柳島公園,中川区柳島町１丁目,0.31 ,S26
9,広見公園,中川区広住町,0.26 ,S27
10,露橋公園,中川区露橋二丁目,1.18 ,S26
11,八島公園,中川区露橋二丁目,0.15 ,S26
12,尾頭橋公園,中川区尾頭橋三丁目,0.18 ,S27
13,荒江公園,中川区荒江町,0.22 ,S28
14,小山公園,中川区八熊三丁目,0.23 ,S28
15,長町公園,中川区八熊一丁目,0.26 ,S29
16,柳川公園,中川区柳川町,0.37 ,S18
17,八幡公園,中川区尾頭橋四丁目,0.25 ,S38
18,八家公園,中川区八家町２丁目,1.10 ,S40
19,昭明公園,中川区昭明町２丁目,0.18 ,S40
20,花塚公園,中川区花塚町１丁目,0.10 ,S42
21,北江公園,中川区北江町３丁目、馬手町３丁目,0.90 ,S42
22,法華西公園,中川区法華西町３丁目,0.32 ,S43
23,万場公園,中川区大地,0.78 ,S44
24,七反田公園,中川区七反田町,0.07 ,S44
25,東前田第一公園,中川区川前町,0.24 ,S45
26,東前田第三公園,中川区本前田町,0.36 ,S45
27,宮北公園,中川区上高畑二丁目,0.20 ,S46
28,西塩田公園,中川区荒子一丁目,0.20 ,S46
29,荒越公園,中川区荒越町３丁目,1.41 ,S47
30,千音寺公園,中川区富田町大字千音寺字六供、字上ノ坪,0.14 ,S47
31,梓ノ木公園,中川区中郷二丁目,0.35 ,S48
32,中郷公園,中川区中郷三丁目,0.30 ,S48
33,河原公園,中川区中郷五丁目,0.23 ,S48
34,寺脇公園,中川区中郷一丁目,0.11 ,S48
35,吉良第二公園,中川区吉良町,0.30 ,S48
36,東前田第二公園,中川区野田三丁目,0.25 ,S48
37,横井橋緑地,"中川区富田町大字長須賀字東出、
　　　大字伏屋字新田北ノ切",0.76 ,S48
38,八田公園,中川区八田町,0.33 ,S48
39,万町公園,中川区万町,0.32 ,S48
40,角出公園,中川区柳森町,0.21 ,S48
41,新家公園,中川区新家三丁目,0.05 ,S49
42,畑田公園,"中川区畑田町４丁目
港区小碓町字東亥新田",0.18 ,S50
43,権現公園,中川区荒子四丁目,0.22 ,S50
44,柳森公園,中川区柳森町,0.32 ,S50
45,蓮池公園,中川区烏森町字四反畑,0.08 ,S50
46,柳田公園,中川区柳田町２丁目,0.19 ,S51
47,堂東公園,中川区高畑三丁目,0.05 ,S51
48,寺起公園,中川区荒中町,0.20 ,S52
49,船入公園,中川区荒子五丁目,0.27 ,S52
50,打出第一公園,中川区打出二丁目,0.33 ,S52
51,昭和橋公園,中川区十一番町３丁目、熱田新田東組字西川縁,1.90 ,S52
52,三日月公園,中川区一色新町二丁目,0.34 ,S52
53,郷中公園,中川区大当郎三丁目,0.37 ,S52
54,南川田公園,中川区大当郎三丁目,0.30 ,S52
55,嶋井公園,中川区島井町,0.27 ,S52
56,長堀公園,中川区吉津二丁目,0.37 ,S52
57,一色公園,中川区吉津一丁目,0.22 ,S52
58,川西公園,中川区吉津三丁目,0.14 ,S52
59,茨塚公園,中川区野田一丁目,0.19 ,S52
60,御山戸公園,中川区打中二丁目,0.33 ,S53
61,高杉公園,中川区高杉町,0.29 ,S53
62,大縄公園,中川区服部四丁目,0.20 ,S53
63,はとり公園,中川区服部一丁目,0.27 ,S53
64,前波公園,中川区服部二丁目,0.18 ,S53
65,法華北公園,中川区法華西町,0.24 ,S54
66,外丸田公園,中川区水里五丁目,0.32 ,S55
67,助光公園,中川区助光二丁目,0.49 ,S55
69,万場大橋緑地,中川区富田町大字万場字流作、字才宮,1.19 ,S55
70,牛立公園,中川区牛立町４丁目,0.18 ,S56
71,細米公園,中川区細米町２丁目,0.84 ,S56
72,荒子公園,中川区荒子二丁目,3.35 ,S56
73,法華公園,中川区法華一丁目,0.27 ,S56
74,川原田公園,中川区富田町大字千音寺字川原田,0.23 ,S56
75,裏畑公園,中川区東中島町５丁目,0.12 ,S56
76,越宮公園,中川区西中島一丁目,0.42 ,S56
77,下之城公園,中川区中島新町四丁目,0.20 ,S56
78,寺山公園,中川区中島新町三丁目,0.20 ,S56
79,天水公園,中川区中島新町一丁目,0.23 ,S56
80,中島中央公園,中川区中島新町二丁目,1.17 ,S56
81,野田公園,中川区土野町,1.82 ,S56
82,丸池公園,中川区中花町,1.15 ,S57
83,高畑公園,中川区高畑四丁目,1.73 ,S57
84,替元公園,中川区春田五丁目,0.18 ,S57
85,松若公園,中川区東春田一丁目,0.20 ,S58
86,北宮公園,中川区東春田二丁目,0.21 ,S58
87,中須公園,中川区中須町,0.24 ,S58
88,中蔵公園,中川区戸田明正二丁目,0.03 ,S58
89,西日置公園,中川区西日置二丁目,0.12 ,S58
90,西日置第二公園,中川区西日置二丁目,0.08 ,S58
91,西宮公園,中川区露橋一丁目,0.07 ,S58
92,尾畑公園,中川区尾頭橋二丁目,0.07 ,S58
93,荒江南公園,中川区荒江町,0.04 ,S58
94,西古渡第二公園,中川区尾頭橋三丁目,0.04 ,S58
95,下之田公園,中川区供米田二丁目,0.29 ,S58
96,中之通公園,中川区西伏屋二丁目,0.25 ,S58
97,伏屋公園,中川区伏屋三丁目,0.29 ,S58
98,下之島公園,中川区伏屋三丁目,0.26 ,S58
99,北堤緑地,中川区富田町大字前田字北堤,0.10 ,S58
100,大当郎緑地,中川区大当郎二丁目,0.28 ,S58
101,中流公園,中川区戸田ゆたか二丁目,0.25 ,S58
102,正色公園,中川区下之一色町字古川,0.09 ,S58
103,打出第二公園,中川区打出二丁目,0.29 ,S58
104,庄田公園,中川区春田四丁目,0.22 ,S58
105,横堀公園,中川区露橋一丁目,0.05 ,S58
106,荒江北公園,中川区荒江町,0.12 ,S58
107,西古渡公園,中川区尾頭橋四丁目,0.20 ,S58
108,八幡南公園,中川区尾頭橋四丁目,0.17 ,S58
109,西川田公園,中川区助光三丁目,0.25 ,S60
110,松重閘門公園,"中川区山王一丁目、西日置町字桑木島、
　　字南出、松重町",0.23 ,S61
111,波花公園,中川区一色新町三丁目,0.38 ,S61
112,荒越北公園,中川区荒越町一丁目,0.28 ,S61
113,水落公園,中川区かの里一丁目,0.23 ,S61
114,乗江公園,中川区かの里二丁目,0.25 ,S61
115,木藪公園,中川区大当郎一丁目,0.24 ,S62
116,近内公園,中川区かの里一丁目,0.21 ,S62
117,小碓緑道,中川区明徳町４丁目,0.18 ,S62
118,東出公園,中川区山王一丁目,0.09 ,S62
119,山王公園,中川区山王四丁目,0.19 ,S62
120,吉津公園,中川区吉津二丁目,0.15 ,S62
121,古苗代公園,中川区吉津三丁目,0.38 ,S62
122,松下公園,中川区吉津四丁目,0.29 ,S62
123,藤西公園,中川区吉津四丁目,0.22 ,S62
124,若宮公園,中川区吉津五丁目,0.15 ,S62
125,刎畑公園,中川区東かの里町,0.20 ,S63
126,柳堀公園,中川区柳堀町,0.06 ,H1
127,四畝公園,中川区かの里二丁目,0.27 ,H1
128,西金公園,中川区東春田二丁目,0.25 ,H1
129,北畑公園,中川区万場一丁目,0.18 ,H1
130,出口公園,中川区万場五丁目,0.15 ,H1
131,郷内公園,中川区万場三丁目,0.18 ,H1
