5．中村区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,中村公園,"中村区東宿町１丁目、中村町字木下屋敷、
　　　字高畑、字茶ノ木、字待屋、字河原",6.27 ,T12
2,日吉公園,中村区日ノ宮町１丁目,0.43 ,S10
3,里山公園,中村区元中村町１丁目,0.06 ,S10
5,稲葉地公園,中村区稲葉地町１丁目、稲葉地本通１丁目,3.38 ,S18
6,押木田公園,中村区押木田町１丁目,0.92 ,S24
7,塩池公園,中村区塩池町２丁目,0.28 ,S26
8,五反城公園,中村区五反城町４丁目,0.13 ,S28
9,六反公園,中村区名駅南四丁目,1.01 ,S24
10,水主町公園,中村区名駅南三丁目,0.13 ,S26
11,西柳公園,中村区名駅四丁目,0.15 ,S25
12,則武公園,中村区則武二丁目,0.16 ,S31
13,牧野公園,中村区竹橋町,0.26 ,S25
14,二ツ橋公園,中村区二ツ橋町５丁目,0.01 ,S35
15,東宿公園,中村区東宿町１丁目,0.03 ,S35
16,柳公園,中村区烏森町２丁目,0.28 ,S38
17,荒輪井公園,中村区荒輪井町１丁目,0.21 ,S38
18,鴨付公園,中村区鴨付町２丁目,0.73 ,S40
19,鈍池公園,中村区鈍池町２丁目,0.41 ,S40
20,稲西公園,中村区稲西町,0.39 ,S41
21,烏森公園,中村区烏森町３丁目,0.17 ,S43
22,岩塚公園,中村区岩塚町４丁目,0.17 ,S43
23,大正橋緑地,"中村区稲葉地町字鶉野、岩塚町字鶉打場、
　　　字南鶉打場、字横手穴、字横手堤付、字山西",5.97 ,S44
24,剣公園,中村区剣町,0.10 ,S45
25,大坪公園,中村区烏森町６丁目,0.17 ,S45
26,長田公園,中村区烏森町６丁目,0.23 ,S45
27,並木第二公園,中村区並木二丁目,0.39 ,S46
28,並木第一公園,中村区並木一丁目,0.20 ,S47
29,沖田公園,中村区沖田町,0.38 ,S47
30,才ノ神公園,中村区烏森町８丁目,0.20 ,S49
31,亀島公園,中村区亀島一丁目,0.11 ,S49
32,横井第一公園,中村区横井一丁目,0.23 ,S49
33,横井第二公園,中村区横井二丁目,0.22 ,S49
34,大秋公園,中村区大秋町２丁目,0.10 ,S51
35,二瀬公園,中村区二瀬町,0.41 ,S52
36,一里山公園,中村区八社一丁目,0.29 ,S53
37,西起公園,中村区横井一丁目,0.37 ,S53
38,京田公園,中村区京田町２丁目,0.14 ,S53
39,日置公園,中村区名駅南五丁目,0.15 ,S53
40,横井山緑地,中村区横井一丁目,3.84 ,S55
41,銭亀公園,中村区八社二丁目,0.28 ,S56
42,瓦田公園,中村区横前町,0.15 ,S56
43,枇杷島橋緑地,"中村区日比津町字川東、字下ノ畑、字上ノ畑、
　　　字古川",7.13 ,S58
44,水主町東公園,中村区名駅南三丁目,0.03 ,S58
45,祢宜公園,中村区名駅南一丁目,0.03 ,S58
46,上米野公園,中村区太閤五丁目,0.06 ,S58
47,大秋西公園,中村区大秋町４丁目,0.03 ,S58
48,牧野南公園,中村区太閤五丁目,0.07 ,S58
49,牧野東公園,中村区太閤一丁目,0.04 ,S58
50,豊臣ひろば緑地,中村区鳥居通３丁目、道下町１丁目,0.20 ,S60
51,岩塚南部公園,中村区岩塚町郷中,0.13 ,S61
52,並木第三公園,中村区並木二丁目,0.29 ,S61
53,上ノ宮公園,中村区上ノ宮町１丁目,0.11 ,S63
54,日比津公園,中村区日比津町１丁目,1.81 ,H2
55,宮塚公園,中村区宮塚町、岩塚町字本陣屋敷,0.69 ,H3
56,靖国公園,中村区靖国町１丁目,0.01 ,H7
57,猪之越公園,中村区猪之越町２丁目,0.08 ,H15
58,角割公園,中村区角割町３丁目,0.12 ,H17
59,日吉二ツ橋公園,中村区二ツ橋町４丁目、５丁目,0.12 ,H21
60,中島町公園,中村区中島町２丁目,0.05 ,H25
61,亀島ふれあい公園,中村区亀島一丁目,0.31 ,H29
62,米野公園,"中村区黄金通２丁目、３丁目、権現通３丁目
　　　大正町４丁目、５丁目",3.31 ,R1
63,一里山東公園,中村区岩塚町字一里山,0.04 ,R1
