4．西区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,庄内公園,"西区稲生町字杁先、字土手、字墓南、字柳原、
　　字定井下、名塚町、堀越町字新替",7.58 ,S12
,,,,
2,児玉公園,西区万代町２丁目,0.79 ,S16
3,上名古屋公園,西区上名古屋三丁目,0.50 ,S16
4,児玉南公園,西区児玉三丁目,0.70 ,S22
5,貝田公園,西区貝田町２丁目,0.15 ,S31
6,早苗公園,"西区名駅二丁目
中村区名駅二丁目",0.28 ,S25
7,桜木公園,西区菊井一丁目,0.29 ,S13
8,浄心公園,西区浄心二丁目,0.10 ,S31
9,城西公園,西区城西三丁目,0.24 ,S25
10,新屋敷公園,西区城西四丁目,0.09 ,S30
11,山神公園,西区城西五丁目,0.10 ,S29
12,数寄屋公園,西区数寄屋町,0.10 ,S30
13,押切公園,西区天神山町、浄心二丁目,2.84 ,S28
,,,,
14,新福寺公園,西区新福寺町２丁目,1.27 ,S37
15,紙漉公園,西区城西三丁目,0.08 ,S38
16,鷹匠公園,西区城西二丁目,0.17 ,S38
17,堀越公園,西区堀越二丁目,0.17 ,S38
18,江西公園,西区菊井二丁目,0.29 ,S43
19,花ノ木公園,西区花の木二丁目,0.60 ,S43
20,名西橋緑地,西区堀越町字大縄,0.57 ,S43
21,榎公園,西区押切一丁目,0.34 ,S44
22,中浦公園,西区上小田井一丁目,0.34 ,S45
23,由池公園,西区市場木町,0.29 ,S45
24,坂井戸公園,西区坂井戸町,0.13 ,S45
25,大木曽公園,西区中小田井五丁目,0.24 ,S45
26,二之条公園,西区中小田井二丁目,0.18 ,S45
27,大野木第一公園,西区大野木二丁目,0.15 ,S46
28,大野木第二公園,西区大野木一丁目,0.08 ,S46
29,こも原公園,西区こも原町,0.13 ,S46
30,作之内公園,西区清里町,0.25 ,S46
31,宮裏公園,西区比良三丁目,0.29 ,S46
32,石原公園,西区比良四丁目,0.22 ,S46
33,天神公園,西区比良三丁目,0.17 ,S46
34,南問屋公園,西区上小田井二丁目,0.19 ,S46
35,高道公園,西区南川町,0.18 ,S46
36,勘堀公園,西区中小田井二丁目,0.27 ,S46
37,洗堰緑地,"西区山田町大字大野木字起返、字野田、
　　字野畑、字洗堰、字瓢箪、
　　字比良脇、字外新田、字東新川、字長田、
　　字薄山、字西新川、字郷前、字下前、
　　字市場屋敷、大字比良字野市場、
　　大字上小田井字坂井戸、字東古川、
　　字天王下、字野方 
北区楠町大字如意字新堀、大字味鋺字落合、
　　大字喜惣治新田字中島、福徳町字七合、
　　字溝向、字戸太夫割",21.58 ,S46
38,八町田公園,西区長先町,0.25 ,S46
39,中沼西公園,西区中沼町,0.24 ,S46
40,横井公園,西区浮野町,0.24 ,S46
41,島崎公園,西区城町,0.25 ,S46
42,鍛冶公園,西区平出町,0.25 ,S46
43,山ノ木公園,西区山木二丁目,0.19 ,S46
44,壱町公園,西区山木二丁目,0.24 ,S46
45,上橋公園,西区上橋町,0.24 ,S46
46,松池公園,西区山木一丁目,0.24 ,S46
47,松池南公園,西区丸野二丁目,0.25 ,S46
48,道間公園,西区八筋町,0.20 ,S47
49,五才美公園,西区五才美町,0.17 ,S47
50,中小田井公園,西区中小田井二丁目,1.59 ,S47
51,玉塚公園,西区清里町,0.26 ,S47
52,境公園,西区比良一丁目,0.26 ,S47
53,西原公園,西区西原町,2.22 ,S47
54,南出公園,西区中小田井一丁目,0.02 ,S48
55,幅下公園,西区幅下一丁目,0.41 ,S49
56,白菊公園,西区枇杷島四丁目,0.15 ,S49
57,立須公園,西区砂原町,0.26 ,S50
58,平中公園,西区平中町,0.15 ,S50
59,宝地公園,西区宝地町,0.24 ,S52
60,南押切公園,西区則武新町二丁目,0.40 ,S52
61,八反公園,西区花原町,0.19 ,S52
62,平塚公園,西区八筋町,0.80 ,S53
63,見寄公園,西区見寄町,1.73 ,S53
64,こも原東公園,西区こも原町,0.17 ,S54
65,五町公園,西区五才美町,3.28 ,S54
66,高田公園,西区中小田井三丁目,0.19 ,S54
67,玉塚南公園,西区玉池町,0.22 ,S54
68,裏塩公園,西区那古野一丁目,0.05 ,S55
69,天神山公園,西区天神山町,0.06 ,S55
70,押切第二公園,西区押切二丁目,0.05 ,S55
71,台所公園,西区花の木一丁目,0.07 ,S55
72,上宿第一公園,西区城西三丁目,0.14 ,S55
73,紙漉南公園,西区城西二丁目,0.11 ,S55
74,堀端公園,西区堀端町,0.09 ,S55
75,大野木第三公園,西区大野木三丁目,0.22 ,S56
76,あし原公園,西区あし原町,0.61 ,S57
77,内江公園,西区上名古屋一丁目,0.06 ,S57
78,北野公園,西区城西二丁目,0.04 ,S57
79,上宿第二公園,西区城西四丁目,0.08 ,S57
80,深井東公園,西区城西五丁目,0.08 ,S57
81,琵琶里公園,西区枇杷島五丁目,0.13 ,S58
82,新道北公園,西区浅間二丁目,0.05 ,S58
83,新道南公園,西区新道一丁目,0.07 ,S58
84,城西南公園,西区城西一丁目,0.06 ,S58
85,桃ノ木公園,西区則武新町,0.05 ,S58
86,みゆき公園,西区幅下二丁目,0.20 ,S58
87,栄生公園,西区栄生一丁目,0.24 ,S58
88,新木公園,西区新木町,0.25 ,S60
89,鳥見公園,西区鳥見町１丁目、２丁目,0.13 ,S61
90,庄内緑地,"西区山田町大字上小田井字水方、字赤池、
　　字東古川、字敷地、字大割、字文衛前、
　　字西古川、字中島、字由池、字宮前、
　　字川瀬先、大字中小田井字東野方、字野方、
　　字東未新田、字中野方、字五反畑、字西蒲、
　　字未新田、字三番割、字重畑、字内畑、
　　字三右エ門裏、字大縄場、字高畑、
　　字堤北下レ、字川下レ、字西堤、字伊勢林、
　　字寺野、字池畑、字下見取、字北河原、
　　字芳池、字東出、字高土井、字藤島、
　　字拾町、字元屋敷、字西河原、字蒲割、
　　字蒲、字大根畑、字西川原",46.03 ,S61
,,,,
91,江向公園,西区江向町５丁目,0.09 ,S61
92,おてこ公園,西区城西五丁目,0.05 ,S61
93,新道中央公園,西区新道二丁目,0.52 ,S61
94,深井西公園,西区城西五丁目,0.06 ,S61
95,枇杷島公園,西区枇把島一丁目,1.00 ,S62
96,赤城公園,西区赤城町,0.52 ,S63
97,南押切なかよし公園,西区名西一丁目,0.08 ,H4
98,本塚公園,西区則武新町二丁目,0.05 ,H8
99,南押切中央公園,西区則武新町一丁目,0.30 ,H12
100,又穂公園,西区又穂町５丁目,0.26 ,H18
101,名西公園,西区名西二丁目,0.37 ,H21
102,蛇池公園,"西区山田町大字大野木字起返、
　　大字比良字野市場",4.87 ,H24
