7．昭和区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,,,,,,,,,
1.都市公園,,,,,,,,,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度",,,,,,,,
1,鶴舞公園,"昭和区鶴舞一丁目、山脇町１丁目
中区千代田五丁目",24.07 ,M42,,,,,,,,
,,,,,,,,,,,,
2,南分公園,昭和区長戸町５丁目,0.04 ,S27,,,,,,,,
3,白金公園,昭和区白金二丁目,0.44 ,S29,,,,,,,,
4,御所町公園,昭和区御器所三丁目,0.05 ,S27,,,,,,,,
5,高辻公園,昭和区白金三丁目,0.55 ,S35,,,,,,,,
6,村雲公園,昭和区御器所四丁目,0.26 ,S38,,,,,,,,
7,吹上公園,"昭和区吹上二丁目
千種区吹上二丁目",4.79 ,S44,,,,,,,,
8,興正寺公園,昭和区八事本町,5.25 ,S44,,,,,,,,
9,広路公園,昭和区川名町３丁目,0.07 ,S46,,,,,,,,
10,高峯第一公園,昭和区高峯町,0.08 ,S49,,,,,,,,
11,高峯第二公園,昭和区高峯町,0.02 ,S50,,,,,,,,
12,隼人池公園,昭和区隼人町,0.28 ,S51,,,,,,,,
13,菊園公園,昭和区菊園町２丁目,0.07 ,S52,,,,,,,,
14,高峯第三公園,昭和区高峯町,0.08 ,S52,,,,,,,,
15,川名西公園,昭和区川名町２丁目,0.08 ,S53,,,,,,,,
16,福原公園,昭和区福原町２丁目,0.14 ,S54,,,,,,,,
17,滝川公園,昭和区滝川町,0.12 ,S55,,,,,,,,
18,川原公園,昭和区川原通２丁目,0.11 ,S55,,,,,,,,
19,山手緑道,昭和区山手通４丁目、八事本町,0.05 ,S57,,,,,,,,
20,八事富士見公園,昭和区八事富士見,0.23 ,S58,,,,,,,,
21,滝川西公園,昭和区滝川町,0.10 ,S58,,,,,,,,
22,高辻ひろば緑地,昭和区東郊通９丁目,0.07 ,S60,,,,,,,,
23,滝川南公園,昭和区滝川町,0.04 ,S61,,,,,,,,
24,川名公園,"昭和区川原通７丁目、８丁目、広路通７丁目、 
　　　８丁目、花見通１丁目、広路町字石流",5.50 ,S61,,,,,,,,
25,高辻南公園,"昭和区滝子通１丁目、東効通９丁目
瑞穂区竹田町１丁目",0.21 ,H1,,,,,,,,
26,富士見ケ丘南公園,昭和区八事富士見,0.06 ,H1,,,,,,,,
27,花見緑地,昭和区花見通１丁目,0.06 ,H7,,,,,,,,
28,台町ふれあい公園,昭和区阿由知通４丁目、台町３丁目,0.09 ,H7,,,,,,,,
29,前山緑地,昭和区前山町３丁目,0.22 ,H8,,,,,,,,
30,北山本町公園,昭和区北山本町２丁目,0.10 ,H9,,,,,,,,
31,山里公園,昭和区山里町,0.02 ,H11,,,,,,,,
32,小針公園,昭和区鶴舞二丁目,0.34 ,H11,,,,,,,,
33,天神町公園,昭和区天神町二丁目,0.13 ,H13,,,,,,,,
34,八事富士見北公園,昭和区八事富士見,0.08 ,H17,,,,,,,,
35,たおも公園,昭和区田面町２丁目,0.09 ,H23,,,,,,,,
36,川名山東公園,昭和区川名山町,0.05 ,H25,,,,,,,,
37,楽園なかよし公園,昭和区楽園町,0.07 ,H27,,,,,,,,
38,折戸公園,昭和区折戸町３丁目,0.06 ,H30,,,,,,,,
