"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"阪南保育所","大阪市阿倍野区阪南町3-26-13","はんなんほいくしょ","学校・保育所","保育所","06-6623-0277","06-6623-0277","http://www.city.osaka.lg.jp/kodomo/page/0000002800.html","","","","","135.51458","34.6283900000006","保育所"
"住之江中学校","住之江区御崎8-1-6","すみのえちゅうがっこう","学校・保育所","中学校","06-6683－0001","","","","","","","135.478674000001","34.6059390000004","中学校"
"生野保育所","大阪市生野区舎利寺1-11-14","いくのほいくしょ","学校・保育所","保育所","06-6731-3937","06-6731-3937","http://www.city.osaka.lg.jp/kodomo/page/0000002800.html","","","","","135.53889","34.6509400000005","保育所"
"桃谷中学校","生野区勝山北3-13-44","ももだにちゅうがっこう","学校・保育所","中学校","06-6712-0017","06-6712-0413","","","","","","135.533553","34.6550440000003","中学校"
"大阪府立生野聴覚支援学校","大阪市生野区桃谷1丁目2番1号","おおさかふりついくのちょうかくしえんがっこう","学校・保育所","その他学校","06-6717-3366","06-6717-5865","","","","","","135.5300828","34.6615472000006","その他学校"
"佃中学校","西淀川区佃2-15-93","つくだちゅうがっこう","学校・保育所","中学校","06-6471-8131","","http://swa.city-osaka.ed.jp/swas/index.php?id=j632363","","","","","135.445864000001","34.7164020000005","中学校"
"東小橋幼稚園","大阪市東成区東小橋2-6-2","ひがしおばせようちえん","学校・保育所","幼稚園","06-6971-8342","06-6981-0826","https://kindergarten.city-osaka.ed.jp/2780043","","","","","135.5334212","34.6696983700006","幼稚園"
"八阪中学校","福島区鷺洲6-1-13","やさかちゅうがっこう","学校・保育所","中学校","06-6458-8531","","http://swa.city-osaka.ed.jp/swas/index.php?id=j532060","","","","","135.477771000001","34.7008780000004","中学校"
"喜連北小学校","平野区喜連1-7-4","きれきたしょうがっこう","学校・保育所","小学校","06-6790-2100","","http://swa.city-osaka.ed.jp/swas/index.php?id=e751740","","","","","135.55035","34.6144210000003","小学校"
"平野中学校","平野区背戸口1-16-26","ひらのちゅうがっこう","学校・保育所","中学校","06-6702-6721～3","","","","","","","135.54261","34.6237670000003","中学校"
"阪南中学校","阿倍野区北畠1-16-24","はんなんちゅうがっこう","学校・保育所","中学校","06-6622-0005","","http://swa.city-osaka.ed.jp/swas/index.php?id=j712602","","","","","135.506553","34.6259320000003","中学校"
"我孫子中学校","住吉区我孫子東1-4-32","あびこちゅうがっこう","学校・保育所","中学校","06-6697-8161","","http://swa.city-osaka.ed.jp/swas/index.php?id=j732661","","","","","135.511381","34.6046920000003","中学校"
"滝川小学校","北区天満1-24-15","たきがわしょうがっこう","学校・保育所","小学校","06-6351-1582","","http://swa.city-osaka.ed.jp/swas/index.php?id=e511000","","","","","135.518947","34.6963000000003","小学校"
"菅南幼稚園","大阪市北区菅原町11-2","かんなんようちえん","学校・保育所","幼稚園","06-6361-6005","06-6361-6884","https://kindergarten.city-osaka.ed.jp/2780010","","","","","135.5100154","34.6937410100006","幼稚園"
