"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"東淡路町公園地域集会所・老人憩の家","大阪市東淀川区東淡路4-24","ひがしあわじちょうこうえんちいきしゅうかいしょ・ろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5201559","34.7387390000003","地域集会施設"
"焼野地域集会所","大阪市鶴見区焼野1-南10-4","やけのちいきしゅうかいしょ","会館・ホール","地域集会施設","06-6913-9191","","","","","地域集会施設","","135.5838012","34.7154882400002","地域集会施設"
"海老江西コミュニティセンター","大阪市福島区海老江西6-6-19","えびえにしこみゅにてぃせんたー","会館・ホール","地域集会施設","06-6458-0011","","","","","","","135.470164000001","34.6984188200004","地域集会施設"
"南市岡会館","大阪市港区南市岡2-7-18","みなみいちおかかいかん","会館・ホール","地域集会施設","06-6582-4269","","","","","","","135.468415000001","34.6661296700005","地域集会施設"
"墨江福祉会館","大阪市住吉区墨江4丁目15番22号","すみえふくしかいかん","会館・ホール","地域集会施設","6678-9286","","","","","","","135.4948113","34.6057080000004","地域集会施設"
"北区民センター","大阪市北区扇町2-1-27","きたくみんせんたー","会館・ホール","区役所附設会館","06-6315-1500","","https://www.city.osaka.lg.jp/shimin/page/0000016598.html","","","","","135.5104723","34.7052886500003","区役所附設会館"
"高殿地域集会所（高殿会館）","大阪市旭区高殿6-16-5","たかどのちいきしゅうかいしょ（たかどのかいかん）","会館・ホール","地域集会施設","","","","","","","","135.5459668","34.7185781000003","地域集会施設"
"もと淡路老人憩の家","大阪市東淀川区淡路4-23-6","あわじろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9857(区役所)","","","","","","","135.5138128","34.7415979000003","地域集会施設"
"住之江会館","大阪市住之江区南加賀屋3-1-20","すみのえかいかん","会館・ホール","区役所附設会館","06-6683-2882","06-6683-2040","https://osaka-suminoekaikan.jp/","","","","","135.474770800001","34.6063512900005","区役所附設会館"
"大阪南港ポートタウン管理センター集会室","大阪市住之江区南港中2-1-99","おおさかなんこうぽーとたうんかんりせんたーしゅうかいしつ","会館・ホール","地域集会施設","06-6613-0201","","","","","","","135.426441900001","34.6313419000006","地域集会施設"
"新庄社福会館老人憩の家","大阪市東淀川区上新庄2-7-9","しんじょうしゃふくかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-6323-1156","","","","","","","135.530167","34.7470189000003","地域集会施設"
"大隅西老人憩の家","大阪市東淀川区瑞光3-3-30","おおすみにしろうじんいこいのいえ","会館・ホール","地域集会施設","06-6327-9436","","","","","","","135.5432915","34.7511607200003","地域集会施設"
"下新庄老人憩の家","大阪市東淀川区下新庄5-3-1","しもしんじょうろうじんいこいのいえ","会館・ホール","地域集会施設","06-6322-7120","","","","","","","135.5217656","34.7454704900003","地域集会施設"
"菅原老人憩の家","大阪市東淀川区菅原3-3-5","すがはらろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5257666","34.7383240000003","地域集会施設"
"東淡路会館","大阪市東淀川区東淡路2-4-23","ひがしあわじかいかん","会館・ホール","地域集会施設","06-6321-5249","","","","","","","135.5169006","34.7360716100003","地域集会施設"
"東井高野老人憩の家","大阪市東淀川区井高野3-3-77","ひがしいたかのろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9857(区役所)","","","","","","","135.5447923","34.7656489200002","地域集会施設"
"大桐老人憩の家","大阪市東淀川区大桐3-8-18","だいどうろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9857(区役所)","","","","","","","135.5456807","34.7473910300002","地域集会施設"
"豊新老人憩の家","大阪市東淀川区豊新4-18-9","ほうしんろうじんいこいのいえ","会館・ホール","地域集会施設","06-6329-0369","","","","","","","135.536","34.7454000000003","地域集会施設"
"豊里会館老人憩の家","大阪市東淀川区豊里5-27-16","とよさとかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5454109","34.7426860000002","地域集会施設"
"小松福祉会館老人憩の家","大阪市東淀川区小松4-15-7","こまつふくしかいかんろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.5401363","34.7546582000003","地域集会施設"
"大隅東会館","大阪市東淀川区瑞光4-5-5","おおすみひがしかいかん","会館・ホール","地域集会施設","06-6326-9266","","","","","","","135.5490583","34.7527027400003","地域集会施設"
"菅原福祉文化センター老人憩の家","大阪市東淀川区菅原7-15-1","すがはらふくしぶんかせんたーろうじんいこいのいえ","会館・ホール","地域集会施設","06-4809-9734(区役所)","","","","","","","135.525597","34.7430311000003","地域集会施設"
"井高野福祉会館","大阪市東淀川区北江口2-4-8","いたかのふくしかいかん","会館・ホール","地域集会施設","06-6340-8765","","","","","","","135.5452179","34.7598292800002","地域集会施設"
"啓発社会福祉会館憩の家","大阪市東淀川区東中島5-6-1","けいはつしゃかいふくしかいかんいこいのいえ","会館・ホール","地域集会施設","06-6320-8791","","","","","","","135.507611","34.7328191000003","地域集会施設"
"大道南老人憩の家","大阪市東淀川区大道南1-10-15","だいどうみなみろうじんいこいのいえ","会館・ホール","地域集会施設","06-6324-0207","","","","","","","135.549252","34.7419652000002","地域集会施設"
