"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"石ヶ辻公園","大阪市天王寺区石ヶ辻町11","いしがつじこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.5223503","34.6633249000003","公園"
"桜之宮公園","大阪市都島区中野町1-10外","","公園・スポーツ","公園","","","","","","総合公園","","135.5236042","34.6985720100003","公園"
"淀川屋内プール","大阪市淀川区十三東2-3-1","よどがわおくないぷーる","公園・スポーツ","体育施設","06-6885-1711","06-6885-1721","http://osakashi.opas.jp/chikubetu/hokubu/yodogawa/pool/index.html","","https://www.osaka-heartfulweb.jp/120601.html","","","135.486433200001","34.7211163100004","体育施設"
"長居障がい者スポーツセンター","大阪市東住吉区長居公園1-32","ながいしょうがいしゃすぽーつせんたー","公園・スポーツ","体育施設","06-6697-8681","06-6697-8682","http://www.fukspo.org/nagaissc/","","https://www.osaka-heartfulweb.jp/220602.html","","","135.5148538","34.6121764600003","体育施設"
"東中本運動場","大阪市東成区(東中本公園内)","ひがしなかもとうんどうじょう","公園・スポーツ","体育施設","06-6761-1770","06-6761-1645","","","","http://osakashi.opas.jp/genre/soccer/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/higashinakamotoundojo/index.html","","135.5455423","34.6762579000003","体育施設"
"玉川南公園","大阪市福島区玉川2-2","たまがわみなみこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.479328200001","34.6900611000004","公園"
"六反南公園","大阪市平野区長吉六反3-17","ろくたんみなみこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.5813581","34.6053779000002","公園"
"江野公園","大阪市旭区中宮2-18","","公園・スポーツ","公園","","","","","","街区公園","","135.5421019","34.7234399900003","公園"
"京セラドーム大阪","大阪市西区千代崎3-中2-1","きょうせらどーむおおさか","公園・スポーツ","体育施設","","","","","06-6586-0106","http://www.kyoceradome-osaka.jp/","","135.475719000001","34.6693498000004","体育施設"
"東平北公園","大阪市中央区上本町西４丁目1","とうへいきたこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.5191359","34.6694581000003","公園"
"酉島東公園","大阪市此花区酉島1-13","とりしまひがしこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.443632900001","34.6848000000006","公園"
"大和川西公園","大阪市住吉区浅香1丁目2、2丁目2","やまとがわにしこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.510122","34.5895309000003","公園"
"長居東公園","大阪市住吉区長居東1丁目14番","ながいひがしこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.5223887","34.6072670000003","公園"
"飛鳥町公園","大阪市東淀川区柴島1-7","あすかちょうこうえん","公園・スポーツ","公園","06-6309-0008","","","","","街区公園","","135.5091922","34.7296029000003","公園"
"大隅東公園","大阪市東淀川区瑞光4-5","おおすみひがしこうえん","公園・スポーツ","公園","06-6309-0008","","","","","街区公園","","135.5491893","34.7527669000002","公園"
"大阪ドーム南公園","大阪市西区千代崎3－南2","おおさかどーむみなみこうえん","公園・スポーツ","公園","","","","","","街区公園","","135.477936900001","34.6677259000004","公園"
"北江口中央庭球場","大阪市東淀川区北江口2-1","きたえぐちちゅうおうていきゅうじょう","公園・スポーツ","体育施設","06-6309-0008","06-6885-1591","","","","http://osakashi.opas.jp/genre/tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/teikyuujyou/index.html","","135.5446887","34.7580749000002","体育施設"
"みたから児童遊園","大阪市東淀川区大隅2-7","みたからじどうゆうえん","公園・スポーツ","児童遊園・広場","","","","","","","","135.5481827","34.7510922000002","児童遊園・広場"
"三宝寺東児童遊園","大阪市東淀川区大桐3-18","さんぽうじひがしじどうゆうえん","公園・スポーツ","児童遊園・広場","","","","","","","","135.5459358","34.7495691000002","児童遊園・広場"
"アポロ児童遊園","大阪市東淀川区豊新5-12","あぽろじどうゆうえん","公園・スポーツ","児童遊園・広場","","","","","","","","135.5369528","34.7480390000003","児童遊園・広場"
