公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-001,大浜公園,ｵｵﾊﾏｺｳｴﾝ,総合,堺区大浜北町４丁７７－１,大浜,堺,市,16.30
400-002,三宝公園,ｻﾝﾎﾞｳｺｳｴﾝ,地区,堺区山本町４丁８６,大浜,堺,三宝,3.17
400-003,錦西公園,ｷﾝｻｲｺｳｴﾝ,近隣,堺区綾之町西１丁３２,大浜,堺,錦西,0.17
400-004,浅香山公園,ｱｻｶﾔﾏｺｳｴﾝ,近隣,堺区浅香山町２丁３６－１,大浜,堺,浅香山,1.66
400-005,ザビエル公園,ｻﾞﾋﾞｴﾙｺｳｴﾝ,近隣,堺区櫛屋町西１丁１,大浜,堺,市,1.47
400-006,土居川公園,ﾄﾞｲｶﾞﾜｺｳｴﾝ,緩衝緑地,堺区北半町東１－１,大浜,堺,錦,6.43
400-007,三国ヶ丘公園,ﾐｸﾆｶﾞｵｶｺｳｴﾝ,街区,堺区北三国ヶ丘町４丁１４５,大浜,堺,三国丘,0.37
400-008,金岡公園,ｶﾅｵｶｺｳｴﾝ,運動,北区長曽根町１１７９－１８,大浜,北,新金岡,17.71
400-009,東浅香山公園,ﾋｶﾞｼｱｻｶﾔﾏｺｳｴﾝ,街区,北区東浅香山町２丁２３２,大浜,北,東浅香山,0.12
400-010,第二東浅香山公園,ﾀﾞｲ2ﾋｶﾞｼｱｻｶﾔﾏｺｳｴﾝ,街区,北区東浅香山町２丁６９,大浜,北,東浅香山,0.08
400-011,東初芝公園,ﾋｶﾞｼﾊﾂｼﾊﾞｺｳｴﾝ,街区,東区日置荘北町１丁７０－１８８,原池,東,日置荘,0.30
400-012,第二東初芝公園,ﾀﾞｲ2ﾋｶﾞｼﾊﾂｼﾊﾞｺｳｴﾝ,街区,東区日置荘北町１丁７０－２４４,原池,東,日置荘,0.14
400-013,第三東初芝公園,ﾀﾞｲ3ﾋｶﾞｼﾊﾂｼﾊﾞｺｳｴﾝ,街区,東区日置荘北町１丁７０－２４,原池,東,日置荘,0.15
400-014,宮本町公園,ﾐﾔﾓﾄﾁｮｳｺｳｴﾝ,街区,西区津久野町３丁２０９３－１,大浜,西,津久野,0.08
400-015,北浜公園,ｷﾀﾊﾏｺｳｴﾝ,街区,西区浜寺元町３丁２３８,大浜,西,浜寺昭和,0.21
400-016,新在家町公園,ｼﾝｻﾞｲｹﾁｮｳｺｳｴﾝ,街区,堺区新在家町東１丁２２,大浜,堺,少林寺,0.20
400-017,大浜中町公園,ｵｵﾊﾏﾅｶﾏﾁｺｳｴﾝ,街区,堺区大浜中町２丁１０９,大浜,堺,英彰,0.15
400-018,中之町公園,ﾅｶﾉﾁｮｳｺｳｴﾝ,街区,堺区中之町西２丁４６,大浜,堺,英彰,0.20
400-019,宿院町公園,ｼｭｸｲﾝﾁｮｳｺｳｴﾝ,街区,堺区宿院町東２丁２０,大浜,堺,熊野,0.24
400-020,甲斐町公園,ｶｲﾉﾁｮｳｺｳｴﾝ,街区,堺区甲斐町西２丁２６,大浜,堺,市,0.17
400-021,瓦町公園,ｶﾜﾗﾏﾁｺｳｴﾝ,街区,堺区北瓦町１丁１２３,大浜,堺,熊野,0.21
400-022,材木町公園,ｻﾞｲﾓｸﾁｮｳｺｳｴﾝ,街区,堺区材木町東２丁３６,大浜,堺,錦,0.21
400-023,宿屋浜公園,ｼｭｸﾔﾊﾏｺｳｴﾝ,街区,堺区宿屋町西２丁３０,大浜,堺,錦西,0.19
400-025,大浜北公園,ｵｵﾊﾏｷﾀｺｳｴﾝ,近隣,堺区北波止町４０,大浜,堺,市,1.97
400-026,大和川公園,ﾔﾏﾄｶﾞﾜｺｳｴﾝ,近隣,堺区香ヶ丘町５丁２２－３,大浜,堺,浅香山,0.78
400-027,石津川公園,ｲｼﾂﾞｶﾞﾜｺｳｴﾝ,街区,堺区石津町３丁１２５３－６,大浜,堺,神石,0.30
400-028,毛穴公園,ｹﾅｺｳｴﾝ,幼児,中区毛穴町４９３－１,原池,中,八田荘,0.08
400-029,原寺公園,ﾊﾗﾃﾞﾗｺｳｴﾝ,幼児,東区日置荘原寺町２１４－１,原池,東,日置荘,0.06
400-030,前ヶ池公園,ﾏｴｶﾞｲｹｺｳｴﾝ,街区,東区日置荘西町３丁１１０８－６,原池,東,日置荘,0.33
400-031,神野公園,ｺｳﾉｺｳｴﾝ,近隣,西区神野町３丁６－３,大浜,西,家原寺,1.70
400-032,津久野公園,ﾂｸﾉｺｳｴﾝ,街区,西区津久野町２丁６－１０,大浜,西,津久野,0.27
400-033,堀上公園,ﾎﾘｱｹﾞｺｳｴﾝ,街区,西区堀上緑町２丁２０,大浜,西,平岡,0.60
400-034,平岡公園,ﾋﾗｵｶｺｳｴﾝ,街区,西区平岡町２８３,大浜,西,平岡,0.37
400-035,八田寺公園,ﾊﾝﾀﾞｲｼﾞｺｳｴﾝ,街区,西区堀上緑町３丁４０－４,大浜,西,平岡,0.90
400-037,中三国ヶ丘公園,ﾅｶﾐｸﾆｶﾞｵｶｺｳｴﾝ,幼児,堺区中三国ヶ丘町７丁２０１,大浜,堺,三国丘,0.08
400-038,梅北公園,ｳﾒｷﾀｺｳｴﾝ,街区,北区百舌鳥梅北町３丁１２５－１７７,大浜,北,百舌鳥,0.09
400-039,大仙公園,ﾀﾞｲｾﾝｺｳｴﾝ,総合,堺区百舌鳥夕雲町２丁１４２－１,大仙,堺,大仙,38.75
400-040,向泉寺公園,ｺｳｾﾝｼﾞｺｳｴﾝ,街区,堺区榎元町３丁１６０－３,大浜,堺,榎,0.53
400-042,原寺第二公園,ﾊﾗﾃﾞﾗﾀﾞｲ2ｺｳｴﾝ,広場,東区日置荘原寺町１６５－３１,原池,東,日置荘,0.03
400-043,鳳前池公園,ｵｵﾄﾘﾏｴｲｹｺｳｴﾝ,街区,西区鳳東町５丁４２９－２,大浜,西,鳳,0.21
400-044,向陵第二公園,ｺｳﾘｮｳﾀﾞｲ2ｺｳｴﾝ,街区,堺区向陵東町３丁２０８,大浜,堺,榎,0.13
400-045,日置荘北町公園,ﾋｷｼｮｳｷﾀﾏﾁｺｳｴﾝ,街区,東区日置荘北町３丁２２－７,原池,東,日置荘,0.13
400-046,常磐西公園,ﾄｷﾜﾆｼｺｳｴﾝ,街区,北区常磐町３丁６－２,大浜,北,五箇荘東,0.28
400-047,わんわん公園,ﾜﾝﾜﾝｺｳｴﾝ,街区,北区新金岡町１丁７－２,大浜,北,新金岡東,0.20
400-048,ぶうちゃん公園,ﾌﾞｳﾁｬﾝｺｳｴﾝ,街区,北区新金岡町１丁３－１４,大浜,北,新金岡,0.21
400-050,石津公園,ｲｼﾂﾞｺｳｴﾝ,街区,堺区石津町１丁６０２－６,大浜,堺,神石,0.52
400-051,常磐東公園,ﾄｷﾜﾋｶﾞｼｺｳｴﾝ,街区,北区常磐町３丁２２－１,大浜,北,五箇荘東,0.16
400-052,東陶器公園,ﾋｶﾞｼﾄｳｷｺｳｴﾝ,街区,中区陶器北６６１－１,原池,中,東陶器,0.38
400-053,土師公園,ﾊｾﾞｺｳｴﾝ,街区,中区土師町２丁１０７１,原池,中,土師,0.16
400-056,いたすけ公園,ｲﾀｽｹｺｳｴﾝ,近隣,北区百舌鳥本町３丁１０,大浜,北,西百舌鳥,0.35
400-057,古城公園,ﾌﾙｼﾛｺｳｴﾝ,街区,西区津久野町１丁１６６,大浜,西,家原寺,0.25
400-058,城の山公園,ｼﾛﾉﾔﾏｺｳｴﾝ,街区,北区百舌鳥梅町１丁２３,大浜,北,百舌鳥,0.42
400-059,鳳中町第二公園,ｵｵﾄﾘﾅｶﾏﾁﾀﾞｲ2ｺｳｴﾝ,街区,西区鳳中町９丁１１,大浜,西,鳳,0.15
